RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,51.0,51.0,53.0,55.0,56.0,54.0,53.0,52.0,50.0,49.0,48.0,50.0,53.0,56.0,57.0,58.0,55.0,55.0,55.0,55.0,54.0,52.0,52.0,55.0,59.0,61.0,62.0,66.0,70.0,73.0,74.0,73.0,71.0,69.0,70.0,74.0,79.0,85.0,86.0,86.0,82.0,78.0,75.0,72.0,71.0,70.0,71.0,76.0,84.0,88.0,86.0,82.0,74.0,68.0,64.0,61.0,57.0,55.0,53.0,56.0,62.0,66.0,68.0,69.0,68.0,67.0,65.0,63.0,60.0,57.0,55.0,57.0,61.0,64.0,64.0,63.0,60.0,58.0,56.0,55.0,54.0,52.0,52.0,53.0,54.0,56.0,57.0,57.0,55.0,54.0,53.0,52.0,50.0,49.0,48.0,50.0,52.0,54.0,56.0,56.0,55.0,53.0,52.0
394514,4,"Dallas, TX",msa,TX,56.0,56.0,59.0,60.0,60.0,56.0,53.0,51.0,51.0,50.0,51.0,53.0,56.0,58.0,59.0,58.0,55.0,54.0,53.0,53.0,52.0,52.0,53.0,57.0,61.0,63.0,64.0,68.0,71.0,70.0,69.0,70.0,70.0,71.0,73.0,85.0,94.0,98.0,95.0,94.0,89.0,83.0,78.0,75.0,76.0,77.0,81.0,94.0,106.0,109.0,104.0,100.0,88.0,76.0,67.0,63.0,60.0,57.0,57.0,62.0,70.0,77.0,78.0,77.0,72.0,70.0,67.0,64.0,60.0,57.0,58.0,62.0,66.0,68.0,67.0,65.0,61.0,57.0,54.0,52.0,52.0,52.0,52.0,54.0,57.0,58.0,58.0,56.0,53.0,51.0,50.0,49.0,48.0,47.0,48.0,51.0,53.0,55.0,57.0,57.0,54.0,51.0,49.0
394692,5,"Houston, TX",msa,TX,48.0,49.0,51.0,52.0,51.0,50.0,48.0,47.0,47.0,47.0,48.0,49.0,51.0,51.0,52.0,52.0,50.0,49.0,48.0,48.0,47.0,47.0,48.0,50.0,53.0,54.0,55.0,57.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,63.0,67.0,72.0,74.0,76.0,74.0,70.0,66.0,64.0,63.0,63.0,64.0,69.0,73.0,77.0,77.0,75.0,70.0,64.0,59.0,55.0,52.0,51.0,51.0,54.0,58.0,60.0,61.0,61.0,61.0,59.0,57.0,55.0,52.0,51.0,51.0,53.0,54.0,56.0,56.0,55.0,54.0,52.0,50.0,49.0,49.0,48.0,49.0,49.0,50.0,51.0,51.0,51.0,49.0,47.0,46.0,45.0,44.0,44.0,45.0,47.0,48.0,49.0,49.0,50.0,48.0,47.0,46.0
395148,18,"Tampa, FL",msa,FL,50.0,49.0,49.0,51.0,52.0,51.0,51.0,50.0,49.0,48.0,47.0,48.0,49.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,52.0,51.0,51.0,53.0,54.0,55.0,55.0,57.0,60.0,61.0,62.0,63.0,62.0,61.0,61.0,64.0,69.0,74.0,77.0,77.0,75.0,72.0,69.0,67.0,67.0,67.0,67.0,73.0,80.0,82.0,78.0,73.0,65.0,58.0,54.0,51.0,48.0,47.0,47.0,48.0,50.0,52.0,54.0,54.0,54.0,53.0,53.0,52.0,50.0,47.0,46.0,47.0,48.0,48.0,47.0,47.0,46.0,45.0,44.0,43.0,43.0,43.0,44.0,45.0,45.0,45.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,44.0,44.0,44.0
394530,19,"Denver, CO",msa,CO,74.0,73.0,72.0,71.0,70.0,66.0,62.0,60.0,57.0,55.0,55.0,59.0,65.0,69.0,70.0,68.0,64.0,61.0,60.0,60.0,59.0,59.0,60.0,66.0,74.0,79.0,79.0,76.0,75.0,75.0,76.0,77.0,77.0,77.0,81.0,90.0,100.0,102.0,99.0,96.0,91.0,86.0,82.0,81.0,81.0,81.0,86.0,101.0,112.0,111.0,98.0,89.0,80.0,71.0,63.0,59.0,56.0,54.0,54.0,59.0,70.0,76.0,79.0,78.0,75.0,71.0,68.0,65.0,61.0,58.0,59.0,66.0,72.0,75.0,74.0,71.0,66.0,61.0,57.0,55.0,54.0,52.0,52.0,56.0,60.0,63.0,63.0,59.0,54.0,50.0,50.0,50.0,49.0,49.0,50.0,55.0,60.0,64.0,62.0,60.0,57.0,54.0,52.0
395055,24,"San Antonio, TX",msa,TX,51.0,51.0,52.0,54.0,55.0,53.0,51.0,51.0,50.0,50.0,50.0,53.0,56.0,57.0,57.0,57.0,54.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,57.0,59.0,60.0,65.0,68.0,68.0,67.0,68.0,67.0,66.0,67.0,74.0,83.0,90.0,92.0,93.0,89.0,82.0,77.0,73.0,71.0,71.0,72.0,77.0,84.0,90.0,89.0,84.0,75.0,68.0,62.0,57.0,53.0,50.0,49.0,51.0,54.0,57.0,57.0,58.0,57.0,56.0,54.0,51.0,48.0,47.0,47.0,49.0,51.0,52.0,53.0,52.0,51.0,49.0,47.0,46.0,46.0,45.0,46.0,47.0,48.0,50.0,50.0,49.0,48.0,47.0,45.0,45.0,44.0,44.0,45.0,46.0,48.0,49.0,50.0,50.0,49.0,47.0,46.0
394355,29,"Austin, TX",msa,TX,57.0,58.0,59.0,60.0,58.0,54.0,50.0,48.0,47.0,47.0,48.0,51.0,57.0,63.0,66.0,65.0,62.0,59.0,58.0,57.0,57.0,58.0,59.0,64.0,72.0,78.0,76.0,77.0,77.0,79.0,80.0,82.0,85.0,86.0,104.0,139.0,161.0,150.0,125.0,110.0,99.0,90.0,82.0,76.0,73.0,74.0,80.0,96.0,111.0,116.0,107.0,93.0,76.0,60.0,49.0,44.0,41.0,39.0,40.0,46.0,52.0,54.0,54.0,54.0,53.0,51.0,49.0,46.0,42.0,42.0,44.0,49.0,55.0,59.0,58.0,53.0,47.0,43.0,42.0,42.0,42.0,43.0,45.0,48.0,51.0,53.0,52.0,49.0,44.0,41.0,40.0,41.0,40.0,41.0,43.0,47.0,51.0,54.0,53.0,50.0,46.0,44.0,43.0
394561,69,"El Paso, TX",msa,TX,49.0,49.0,50.0,52.0,53.0,53.0,53.0,54.0,53.0,53.0,52.0,54.0,60.0,62.0,62.0,61.0,59.0,60.0,63.0,65.0,60.0,54.0,50.0,52.0,54.0,55.0,55.0,59.0,63.0,66.0,68.0,69.0,66.0,64.0,64.0,69.0,73.0,78.0,84.0,88.0,89.0,87.0,87.0,84.0,84.0,82.0,82.0,89.0,98.0,103.0,101.0,96.0,87.0,80.0,77.0,74.0,68.0,64.0,63.0,65.0,68.0,73.0,73.0,70.0,64.0,62.0,61.0,59.0,57.0,55.0,55.0,55.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,55.0,54.0,53.0,52.0,53.0,54.0,54.0,54.0,54.0,55.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,53.0,54.0,55.0,55.0,54.0,53.0
394484,80,"Colorado Springs, CO",msa,CO,74.0,75.0,75.0,73.0,72.0,69.0,65.0,63.0,62.0,62.0,61.0,64.0,69.0,73.0,75.0,74.0,71.0,69.0,68.0,67.0,65.0,66.0,67.0,72.0,77.0,79.0,78.0,76.0,75.0,73.0,73.0,72.0,71.0,71.0,74.0,79.0,92.0,101.0,102.0,94.0,88.0,83.0,80.0,78.0,77.0,76.0,78.0,86.0,92.0,93.0,87.0,81.0,74.0,69.0,65.0,61.0,57.0,54.0,54.0,56.0,60.0,65.0,68.0,70.0,69.0,67.0,65.0,64.0,62.0,59.0,57.0,60.0,64.0,68.0,70.0,68.0,63.0,59.0,58.0,56.0,55.0,54.0,54.0,57.0,59.0,61.0,62.0,61.0,58.0,55.0,54.0,52.0,52.0,51.0,52.0,53.0,57.0,60.0,61.0,59.0,57.0,55.0,53.0
