RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,46575.430753842156,46790.91811992093,47022.429361901406,47210.555896341306,47376.129797812246,47532.87536351379,47714.10823142544,47915.04128103073,48126.216602514454,48330.153015036005,48521.973173336715,48697.75713710493,48840.50181539295,48960.70199162943,49033.676632595045,49172.09262040373,49319.69785648991,49508.10802388706,49652.25423150285,49805.56250825749,49949.21513630821,50101.82667614218,50233.928712907145,50365.68441057967,50553.92361995035,50774.125805479736,51046.26943699357,51241.52491292293,51432.57939713551,51584.388930477995,51745.08344040517,51881.129589572956,52066.8565089349,52219.50164411397,52403.14061001885,52578.19239527021,52777.02609894968,52977.014384086775,53141.194596458496,53312.64298104847,53454.15783324552,53628.948161911016,53811.66206849329,54013.511738742185,54175.75945240252,54383.96063825202,54606.770901792224,54826.82909146267,54983.317363287606,55117.82271335428,55282.881662870364,55469.95201815245,55683.252513568325,55882.975483294445,56081.562841191844,56275.58109013305,56477.75732572701,56659.55297088165,56820.29962886756,56989.71859972867,57188.09475261507,57398.98954125845,57566.616403016116,57503.04243050988,57357.68777056893,57231.760258439346,57269.27067946519,57286.60450627594,57324.697200550836,57463.884707295794,57684.373023959735,57976.425412949735,58385.17520216062,58822.990517993305,59301.751675698615,59894.39395296665,60675.120910428624,61593.15979975499,62536.98379774606,63560.51656867916,64581.26024272689,65457.93273089419,66208.2722264979,66867.30775788911,67412.40261825304,67950.5617939037,68398.591499526,69000.80282855466,69538.77760427381,70090.40528992785,70497.98303942368,70790.9217719053,70997.48159592031,71158.06070729603,71334.39063091656,71547.48540120744,71757.97567470887,71971.34351681739,72285.55613869893,72478.88099688417,72658.69992170545,72681.32400000254,72810.45656322352,72948.23784797119,73100.8023598431,73278.93125811058,73451.90347445944,73654.40693768645,73867.8908971566,74073.96279642466,74245.87999432968,74418.93965947663,74595.3746379555,74788.6433986821,74944.47744146555,75099.68024294503,75245.8490088865,75385.86180447543,75582.20311744465,75766.53175830815,75986.11955167125,76164.9203746243,76330.89484195523,76439.55020114091,76513.21407050111,76587.04926078547,76648.40210633891,76801.09388161308,76963.32763762864,77125.34443502255,77241.48376957043,77342.74307230742,77412.33543193489,77514.5754298285,77625.36851485568,77801.35471642995,78009.41281025835,78242.59643574391,78487.52054470289
394913,1,"New York, NY",msa,NY,93280.13637152062,93904.12724729977,94465.64173538309,94844.79447342838,95006.0234603105,95170.51648284028,95389.95552800858,95744.4465798768,96109.78538109094,96447.72633978164,96613.07138302272,96811.80024801605,96938.58820109777,97079.01647284674,97120.87500319914,97204.90602607837,97355.34949595286,97532.86970262958,97792.8338627955,97916.49995633765,98098.05489850695,98285.86374136501,98691.5857502652,98836.34174209023,98960.4084142418,98943.66847126918,99105.89696211697,99230.62098715534,99455.86100960201,99576.91140806004,99716.56775661223,99766.14902255205,99902.16985537327,99873.68884407688,99888.41640711238,99973.15108194198,100208.41895660113,100426.13069560289,100624.8972904824,100924.93879390309,101134.58228403683,101326.58903384031,101514.51521565599,101842.50144482416,102119.57358456105,102336.70194655555,102620.27898779383,102850.71748191504,103118.6396304306,103386.91551020643,103650.35556116968,103862.50954488011,104101.49486392652,104411.25751027958,104711.46168240091,104983.83155519866,105256.0088185375,105666.8890581162,105981.63717328566,106369.98093227789,106677.4272401378,107038.28313844248,106645.57716259663,105990.65321927733,104845.66945088521,103425.86851220597,102004.87689790748,100186.9492866098,98556.95124024893,97498.93892484606,96973.54281202749,96933.31349996693,97094.81109163833,97433.1136012545,97913.70465300936,98654.84413534628,99888.30488446691,101486.37811012304,103463.94874547266,105851.46410135245,108301.89678573799,110472.47718420283,112412.67735163432,114010.42171016891,115381.41047011472,116538.2769814382,117654.31267449085,118792.13030951661,120030.7756311138,121338.94185264889,122533.26560110504,123460.8897113267,124067.46437884754,124445.3635228228,124605.06276473792,124807.27136948095,125118.03204361122,125560.76086645648,126122.06120764447,126818.16302952632,127379.35471112821,127694.9708285664,127885.72305819171,128143.732250782,128616.21655789432,129028.70002047322,129445.70568890535,129889.08836473896,130480.14307620705,131063.03035400542,131612.1177757518,132060.8342455626,132419.12641115134,132708.0027078294,132790.45668709665,132922.60432499123,133166.72178073967,133641.0739990732,134470.39153877657,135208.19383457626,136016.03163972686,136522.95784407263,137032.29413546782,137451.61066070816,137714.07374153915,138183.5120486622,138819.21226417713,139589.33165480045,140221.8478107027,140755.89920703735,141056.63658581194,141415.67604794682,141629.70600656507,142065.6906059417,142500.32456233955,143035.0527575983,143770.6204633381,144432.5549468108,145098.31184022245
753899,2,"Los Angeles, CA",msa,CA,70958.92128109622,71345.55508434403,71797.50509221505,72222.8410973732,72554.55305981077,72874.6244936567,73265.87587449617,73713.26490802772,74224.80034872192,74649.9516291198,75127.22996370458,75594.02749199154,76032.02293917666,76328.04414665156,76533.67271693044,76793.98512513448,77141.33645894374,77547.66012449567,77933.11468817908,78234.45652081993,78561.98593673193,78868.27867922994,79197.93509604306,79512.34359320591,80019.30704853518,80552.81628200007,81239.35731480093,81643.77176855878,82030.28632594956,82281.89413348652,82604.41617301955,82872.53610943317,83201.40400438632,83460.80932173226,83820.90447360743,84157.01312998745,84566.03994138725,84990.97667887807,85193.63122126828,85435.71674814251,85598.23450223831,85986.90885109216,86325.75759046474,86738.15240134162,87027.70324001409,87407.7838130843,87751.2314938274,88101.84485256088,88241.38184257294,88396.16124011204,88654.09114203072,89007.66723871419,89407.85439462557,89676.96446814548,89939.16612395183,90176.5419958467,90458.07064259348,90700.60104415982,90904.63016814599,91111.15554658117,91396.91624757358,91653.53469587621,91502.9658334115,91165.94124776452,90850.72535700876,90542.76718617439,90368.34899350822,90116.75149476429,90048.49740771885,90216.45123157631,90496.35146767662,90723.42820103251,91179.22955466979,91641.50561202758,92177.03644701322,92697.33524697695,93461.96653174011,94636.87478310573,96056.48295903401,97764.55673445268,99254.23933809256,100484.46255044661,101432.08405664921,102481.90500453074,103352.16840258172,104349.73776942067,105210.89657506537,106386.01761346696,107272.26254192789,107979.58411252925,108339.5800771607,108555.66235377573,108754.49841240021,108892.00039248579,109180.99501528112,109347.67008487142,109437.23534303502,109524.99534828887,109856.54949074905,110127.92317021379,110373.30369246188,110436.68348132393,110669.09977854266,110865.27648792125,111026.85739268413,111230.68305766305,111353.68031966922,111621.41155450189,111784.52029230857,111978.79644889399,112090.42005747191,112309.25312361127,112592.21497673013,112909.96830330815,113215.27960299267,113440.91096452523,113702.40928407015,113890.3001471902,114140.88680826875,114374.82601092246,115019.26262679556,115576.97238118449,115981.62779944163,115878.11879574036,115858.47564577703,115929.43865273459,116037.0124898328,116252.45663378721,116452.28051066911,116693.48362492514,116886.41455272558,117024.77864084466,116903.6399888385,116818.15656564226,116834.22694974851,117176.96041122143,117430.67176976259,117632.01689782966,117776.81663176487
394463,3,"Chicago, IL",msa,IL,56232.671174969466,56303.84177560601,56471.06307310821,56646.29378740468,56821.507766279574,56962.40649262921,57074.75445493959,57231.51494996353,57362.43244430525,57546.043202319226,57712.213537670425,57934.005560855614,58104.85290877846,58228.0362431445,58317.53765974655,58358.36671012961,58435.99134770374,58529.05165144114,58731.66275579913,58969.92603085533,59092.36341279991,59221.33857551165,59224.90374102905,59207.15097198121,59263.96821333097,59485.85994002081,59817.09302634435,60053.37766314238,60232.243291493774,60308.08819757212,60355.07736007195,60341.91431633093,60521.51704858999,60601.997328831596,60764.811852266226,60887.462689482905,61049.78119669231,61211.710044914376,61257.834410148025,61341.12675844731,61440.89027014859,61647.21650197514,61835.94413914537,61942.07782946867,61936.90159563361,62005.530800900015,62185.71669399855,62479.609642427364,62632.02113335806,62729.24006970333,62849.5072663635,62999.70430408046,63161.893503307656,63291.310282055085,63431.12504880027,63658.1160993822,63903.44920296467,64140.0530863259,64278.317334692234,64353.96991340918,64509.62649547178,64680.39389406263,64846.480143434,64522.50315192226,64167.74740575163,63866.34607870411,63772.605331002684,63688.71029309768,63511.145706460695,63273.162736820064,63124.397102681665,63154.421910664074,63214.72594674545,63420.113700670605,63677.20812998533,64280.01785145741,64922.273359906445,65639.81835095746,66238.0457794614,66842.51494532412,67516.25427921263,68123.94506019124,68748.18251233369,69302.91423634496,69825.82085609347,70225.26752129015,70646.45464310239,71162.79832975734,71704.57366990099,72150.13041811757,72607.98562991762,73008.85860508394,73453.03326420623,73889.97183135395,74258.51407595804,74599.69960394021,74930.74067985613,75329.24364172423,75734.23918904764,76004.44493053528,76350.12774077445,76684.84981835808,77054.61623136757,77449.98394813662,77703.03536740075,77989.74137997064,78275.59006767526,78707.81953977897,79073.65113947415,79407.4086312887,79638.10697310574,79957.90845524629,80193.00846373978,80499.67573422237,80784.31186001973,81114.53280414778,81498.06804970268,81961.27540049005,82438.59585546186,82867.67199463122,83207.67352226384,83595.31303066023,83987.97723899457,84416.25684323585,84803.64986761335,85214.41431165709,85616.82718022144,85987.56158937424,86378.05500124273,86692.89810867104,87014.42814630744,87310.47151599351,87715.6010432391,88090.37297882015,88512.56285290183,88890.24395026111,89326.01617757347,89711.36376723724,90105.51760336896
394514,4,"Dallas, TX",msa,TX,42823.4697104263,42970.257598005934,43129.401995152024,43378.79197417795,43549.04708050285,43749.13079207093,43940.094319402575,44122.78763510788,44319.88985052318,44482.690768846456,44689.954053933936,44902.727385928956,45058.494512838515,45249.17352617556,45391.65386016189,45600.15462769564,45735.48833855817,45904.39424389176,46043.62419750829,46240.15167434256,46418.93066118448,46648.57372263628,46781.73607166514,46946.10719128074,47180.46254377092,47361.33599678544,47652.055257137865,47804.19790058382,48120.931894986046,48255.56092409832,48429.71819869943,48568.01116336432,48734.25827761079,48806.55845473968,49019.41130642952,49154.631497625815,49368.756242063304,49542.99978354942,49616.10407586118,49743.483066198765,49768.24033722649,49961.395697526925,50114.461363418864,50233.20873467768,50324.67948446384,50555.95345969377,50767.027950004776,51029.232627224395,51125.57769262141,51208.452658940536,51379.90429923402,51556.150077581326,51742.59428486262,51875.87053697894,52021.48101820107,52192.90752898641,52368.42052571784,52465.377486775615,52521.74803684642,52564.310860518046,52676.62540756375,52822.656182139566,53042.52655579209,52993.07626810079,52858.60060604589,52683.25925623383,52674.155912235416,52755.50357919554,52948.674847651346,53223.56131148601,53512.28518331797,53891.78150089003,54339.20248311354,54810.61984588799,55201.969885807535,55794.84792670084,56532.80568768661,57474.18255203529,58458.517600101164,59534.26312639792,60539.88491107997,61392.25328819247,62141.17278276026,62821.89821307316,63392.36178396389,63897.34797283475,64316.39065596282,64895.41856365965,65470.22125973253,66152.8791349302,66568.91494106661,66712.07376140212,66663.27997719344,66518.07851825017,66514.62122447342,66568.80910897678,66689.32737660092,66803.50509473757,67062.79985805046,67035.83038286207,67027.16782047569,66754.2604540916,66735.00673128461,66678.57486913913,66711.41892042385,66726.54480528896,66782.26554541188,66748.69770880869,66733.61509241904,66633.95150939336,66523.12538765075,66459.11301895633,66441.99636340662,66474.7397235644,66464.54101240465,66497.57279449301,66473.83897203443,66508.57117506674,66454.78067715131,66458.3693554692,66463.56648594628,66550.87876739692,66650.11870595426,66703.96409418437,66673.44534611634,66589.53334316643,66470.43022638222,66464.15450331359,66489.02525433521,66494.62108761644,66518.8215363894,66528.1785369088,66514.79535089259,66479.57789126746,66415.04871515388,66414.79140320377,66455.85823133646,66564.1857876432,66681.71209900509
394692,5,"Houston, TX",msa,TX,49061.996655502946,49158.63967812786,49331.69625537343,49441.243731885035,49505.139019791844,49596.55282806808,49691.263080323624,49849.21747872165,49903.37138827179,49962.224305602555,50017.74577650414,50055.73933587513,50142.16097732047,50135.385581513685,50210.49356016794,50164.225202507165,50097.29059634943,50044.64686611351,50068.01485300413,50112.28375508714,50014.34547545566,49953.92777923294,49815.358552674865,49836.30941662915,49896.39619544154,50127.581540009814,50342.12016578056,50385.03509294196,50535.14614796357,50508.561093571836,50576.25018380158,50540.23198881643,50957.86961608816,51356.43964597284,51826.50557257918,52089.43126867229,52244.92446234624,52437.50293416186,52394.367650095985,52543.72574545779,52483.63180558101,52607.95544158935,52643.40742267028,52756.12317249654,52771.436936106074,52839.53533870557,52949.56563256321,52953.52961886667,52995.43865587732,52889.73343284267,53039.93619825627,53153.26701743599,53377.662983745955,53542.16218831669,53711.48944984732,53866.330986055196,53904.06936019367,53909.73054797432,53872.71367366618,53994.86254676564,54139.23104891301,54351.44171081534,54583.43918664876,54424.80861719894,54112.95267211211,53802.467597408686,53821.38817152687,53946.025571035825,54092.662209089576,54308.41747919565,54548.29464170451,54720.97937229451,54992.53570801662,55127.81094966994,55418.32160541176,55852.48621026468,56563.43522886775,57408.022273944494,58162.635313921885,58936.59020213654,59601.56708381367,60117.45131428688,60549.90296355432,60933.25683423161,61262.65610177619,61666.74269454193,61955.9261113994,62398.27915526437,62657.51673399498,62978.54974319354,63164.40858621521,63298.74746742014,63364.81093517037,63426.92479724617,63463.90603289137,63628.70503948633,63810.40689386085,64083.064791893936,64398.37676013532,64482.983706874686,64613.15486829888,64628.675382198155,64721.30464370617,64713.82458207353,64667.121065349435,64712.85038804035,64819.532451145,64958.05600097015,65097.39440606448,65193.54345924364,65184.16693215076,65296.90219095074,65406.07275336445,65595.11909335054,65650.6613395635,65777.49222946432,65885.88235510708,66012.71997991356,66086.05426105922,66113.19421764433,66166.59795328422,66274.19370250516,66436.24874920966,66461.94063884647,66358.00036660569,66091.66207611182,66062.41619292996,66067.7319891777,66111.08087338692,66092.72195580552,66083.71247204416,66061.67434776411,66011.45048128319,65915.5094617162,65821.2047824649,65810.89840595027,65894.66235847735,66081.58602751546,66140.57303896885
395209,6,"Washington, DC",msa,VA,69966.12457899583,70187.70127748568,70360.83177957064,70451.35145775383,70539.51844417202,70590.98131535141,70656.06370440725,70666.41539831077,70862.33453327556,71029.40817080863,71295.94389525786,71419.90383494184,71534.99495137506,71537.67262905587,71594.21297156927,71624.60502140541,71728.16628381089,71791.18467560028,71922.65537717394,72098.60789917168,72176.31370137587,72290.03392029552,72334.25104953138,72489.69633242812,72659.71676672909,72992.91555067305,73216.2813513143,73426.65380278787,73478.15727404026,73624.174453739,73699.05713468432,73773.23405884004,73943.3188150592,74111.17772802724,74225.12821544259,74286.66831443616,74393.91922423623,74502.75279670974,74704.68964849,74877.758999046,75093.42309196535,75299.38687981905,75510.44865356092,75810.73125785404,75858.48458045136,76106.02864937259,76397.97409442239,76765.64684920672,76898.13760751643,77043.28744773752,77182.99864757604,77362.62841244246,77576.48534678199,77763.1899421888,77967.614068886,78096.01708740368,78388.21355102496,78520.17803807306,78655.21958591453,78738.88549620204,78979.32768766822,79179.87808400036,79559.59356470314,79380.68281181011,79040.96890187384,78484.22179317722,78137.67844139485,77875.40804527726,77599.14584178469,77385.94866840196,77167.9497640566,77121.11696030071,77338.9949861713,77595.28860742773,77775.4246503017,78123.98868973806,78850.11287508102,79964.37747423154,81022.6847823769,82092.1202271085,83041.44463312095,84018.00182492353,84800.2200337759,85407.61773560311,85709.68914132354,86068.71804894885,86463.68409114494,87124.33914803948,87668.41135957566,88204.9809043706,88639.41257539936,88894.16373289535,89135.99810047439,89106.75579152725,89237.67629289416,89373.20390319274,89695.81053997783,90060.929859239,90620.99996001936,90882.12681337018,91128.09097393698,91125.96719585778,91363.32509638544,91677.29024680771,92034.39921364759,92484.40032445727,92877.52976223401,93219.00820215238,93494.90002075148,93814.19517625218,94089.74601316666,94467.93963671803,94867.98033711972,95369.93671739915,95733.67594032343,96055.90345890282,96312.80116995338,96558.99641420455,96849.34305163853,97159.12765151034,97520.18177232283,97781.29789585466,98001.0917106478,98064.66864034692,98033.18103418117,97981.40999040591,97792.49875096312,97818.39066768231,97861.9206612596,97906.83495389861,97899.62786178224,97887.04701418093,97818.4913728626,97775.45109113082,97726.66015486732,97784.9563832064,97898.47103370141,98018.1277185183,98248.35079849034
394974,7,"Philadelphia, PA",msa,PA,48467.93774315809,48609.04964676606,48856.02923075001,48951.229847325,49051.115096617454,49084.77828240599,49224.3157012126,49331.14843098806,49476.49070153783,49596.56335217328,49614.79710458825,49675.62819697219,49687.72642690575,49871.35274571341,49946.439719044174,50119.786792358405,50243.947951078895,50496.66483758734,50607.73379717138,50731.97558672919,50771.739363923545,50888.08585976561,51103.45886471223,51277.65980558781,51452.13058383506,51535.203682092535,51696.94294888608,51814.0106588395,51909.62615130249,51895.6905283609,52012.73194561464,52152.16655931848,52363.49559575508,52507.50349830507,52606.71470598676,52819.69123774625,52929.76206505478,53115.99974085418,53244.6960269046,53396.87798986449,53585.62494599303,53692.08575872262,53805.47870678998,53943.01011538972,54121.36668283935,54363.99193311625,54621.39209195065,54776.115440435744,54967.295563272,55042.1919213195,55230.82309032324,55409.77694912735,55584.11882477528,55854.53835962038,56082.96073827547,56282.205284679614,56432.97806094442,56554.3257336767,56672.83985331041,56825.3819736536,57007.808847880005,57260.11196077863,57508.528338777425,57535.594053361,57440.35993067569,57371.31734945351,57534.80828158895,57634.7393019278,57832.86668816992,58008.23483386788,58214.36074461824,58405.486818129786,58671.91294730195,58947.080221678436,59167.434128022775,59616.44064843185,60281.90322017168,60988.87073574724,61592.26635859335,62263.946394957435,62799.2157142858,63409.50229153964,63982.86768992491,64745.908004086705,65265.60522007761,65662.78782134889,65957.44270592081,66330.97788966406,66668.94246328367,67059.28673841064,67369.68925629748,67577.63834199958,67762.1663809617,67820.71485311931,67968.71628626547,67999.41666778391,68232.73633297136,68369.02923520202,68747.8842198394,68960.92329024235,69220.14100946202,69263.84192703811,69426.27153376056,69640.54381469311,69946.93003634336,70221.269228868,70362.54706194537,70434.22140465448,70551.59486888307,70847.1112869715,71155.41914895896,71442.70063067046,71659.51708849701,71877.74328568525,72000.9753766275,72164.59663460076,72288.93131744205,72541.48474586787,72812.73460663424,73132.9120832114,73405.81547158535,73538.39664717608,73619.43380359185,73733.29518967256,73885.81395537614,74047.68508928441,74364.24512912318,74594.89232705752,74818.78527795123,74980.8541393506,75174.58533201287,75382.3848006111,75570.18009126757,75803.49557032961,76026.72375682656,76273.4483028814,76522.17373841557,76809.67666496949,77004.22326913798
394856,8,"Miami, FL",msa,FL,58735.53396566027,59069.90594066854,59359.29792613784,59649.06041006574,59930.9507668253,60210.8225960179,60468.95383936847,60725.719221152714,61038.396365002955,61294.1671282364,61639.020471220625,61894.70687298562,62123.703641282584,62251.50419576523,62349.65378083265,62452.677852413544,62445.76894868994,62462.436323858274,62477.0902538888,62536.41237549374,62616.76151716099,62670.84928165699,62783.16003419797,62847.06877847735,63100.64895971185,63305.98200360345,63653.70196224234,63766.25643626306,63883.44922623224,63994.30045291217,64165.72530975103,64400.26356323095,64582.418344282196,64708.255625966754,64704.28686291101,64794.409668471395,64957.26449890927,65160.8413597754,65327.53009940174,65526.208586690205,65703.42429330164,65918.5584317742,66095.91585076496,66322.23934649838,66454.573774592,66630.74326678897,66779.19800345758,67002.59914862624,67084.24565880973,67167.56708180616,67223.24774556907,67376.8611264822,67574.67996754427,67747.9060758595,67928.41676949325,68036.61011652497,68243.80340080251,68458.00572656897,68751.16723080371,68961.83969918794,69219.23582509843,69480.72001461609,69594.68902595977,69449.59445050996,69189.45055573934,69104.99077722892,69124.49002110462,69228.64717731775,69382.92311086152,69870.43763699035,70486.66555682341,71139.4854311626,71920.2499949264,72962.85513765486,74139.83951865969,75505.98005281243,77077.99818862752,78999.12085156236,81320.95031951094,83732.51175668057,85988.09494124237,87731.72880011385,89488.58934986027,91377.80532494507,93186.42750985608,94654.10734453214,96083.92619722732,97674.4305941214,99165.9535662063,100143.11899362675,100668.06823091458,100853.87303910436,101136.11837986484,101401.40663136383,101738.91539021327,102001.81889803169,102200.71289232907,102380.2578068005,102531.022191629,102593.25992701961,102683.1387087202,102747.74556674773,102789.89260622021,102908.46982317329,103031.64925240572,103398.52244080232,103544.3521087278,103534.34157187115,103619.39205316336,103869.13275728625,104158.86304834143,104297.93013386281,104335.32944657866,104461.07500301722,104616.33564735028,104808.89157825029,105010.41042527063,105083.67954598994,105141.46636994758,105286.34502082391,105481.41437849488,105584.32297730814,105579.02400518146,105525.82298130837,105530.5026142283,105578.58420070745,105572.95828194502,105660.67766509241,105705.39252192098,105733.35428458841,105847.85263643906,105968.45593265926,106012.68205029643,106057.65961217764,106170.62533767521,106406.06201233345,106647.34830340803,106838.06133611851,107079.63947964643
394347,9,"Atlanta, GA",msa,GA,40332.33015686166,40511.93737242588,40619.410823835926,40853.241198158226,41003.838863178535,41274.02519125134,41434.85331212985,41619.74072066371,41810.67257516844,42017.02927534529,42188.73163210804,42400.48480458175,42603.13108830192,42834.668519341205,43026.43525540086,43159.98808337662,43335.00798115134,43512.354547350755,43767.61060023523,44015.72386938354,44223.29323256619,44464.23683058641,44628.19344575352,44811.50796725224,44992.72821217022,45248.88605226539,45563.03771171639,45847.44930225664,46153.617889758054,46412.500672523296,46711.299603027575,46933.85267872669,47211.088107308366,47296.52677944049,47552.0549779415,47717.89690552169,48037.40388849066,48273.587852025135,48525.68800220755,48786.19097335644,49011.895081294846,49225.59669597197,49426.36952566625,49613.6375804656,49790.5374785216,50229.87685325726,50625.80665678261,50987.5968199969,51190.52344470418,51386.95314545566,51596.964021477725,51820.510056814775,52051.73336483281,52309.76417044956,52538.9114740274,52813.30530082068,53068.63295428533,53198.11913117049,53283.47854759637,53428.866857608715,53610.35133420372,53813.13945568772,54097.5068812662,54210.40821757495,54271.33557628278,54357.394825425865,54674.605684353715,55034.149240086896,55376.30326436818,55811.78242536172,56338.94199187249,56945.911811241276,57687.75030182525,58454.36823657635,59131.86156464713,59910.875128887325,60803.702439641675,62017.60081884496,63186.71198998192,64518.05623336597,65731.33540564503,66796.06197946027,67526.31425112134,67975.0241931029,68314.3803816604,68548.95176853571,68895.68397636933,69310.53931220269,69872.20482826505,70329.9728671282,70719.78630082986,70873.24588197062,70938.25055900594,70905.7184094645,70986.17890225898,71234.40942774292,71310.47051025438,71438.86765869509,71717.93425166352,71877.43267874452,71878.34093525907,71579.28941479446,71447.26813476496,71246.84190031137,71129.77470092227,71012.51404762449,70984.57838817334,71011.20836875982,71202.54718716201,71445.16832392247,71473.98960745463,71528.13651763987,71510.59685232035,71612.11783147616,71541.47556579209,71494.18980499904,71495.57049399399,71567.74271743596,71715.40660767298,71853.55220410248,72049.28497900578,72324.63793710586,72538.87164590012,72640.78016306374,72617.66807554515,72596.04363739608,72667.63919520642,72956.89399652353,73183.01962355361,73375.86576069325,73454.50205329253,73490.84135815945,73445.55682954872,73316.00328450205,73313.28516046747,73415.60868573636,73681.7866168744,73957.24763616291,74215.88528100868
