RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,1421529.0,1500195.0,1592417.0,1660618.0,1709146.0,1733393.0,1723102.0,1701375.0,1642146.0,1541995.0,1452604.0,1405516.0,1449966.0,1515571.0,1604228.0,1665082.0,1693555.0,1688690.0,1665421.0,1634586.0,1560531.0,1441428.0,1336187.0,1285461.0,1309043.0,1299807.0,1317974.0,1320181.0,1345172.0,1324973.0,1283020.0,1228208.0,1140490.0,1028143.0,949584.0,881641.0,882134.0,882366.0,934197.0,978095.0,1028626.0,1071839.0,1084093.0,1067941.0,997943.0,887152.0,777174.0,706996.0,727008.0,774573.0,860427.0,947012.0,1033432.0,1092211.0,1101632.0,1085232.0,1032719.0,956029.0,884258.0,831098.0,835546.0,845933.0,879953.0,906312.0,930380.0,949513.0,957662.0,972710.0,964640.0,926056.0,884124.0,870160.0,907590.0,961206.0,1031279.0,1098649.0,1152764.0,1181781.0,1192842.0,1197150.0,1173300.0,1113463.0,1062381.0,1043117.0,1097475.0,1167197.0,1262386.0,1329558.0,1373264.0,1380205.0,1373160.0,1362843.0,1322714.0,1239487.0,1158753.0,1115629.0,1155751.0,1219194.0,1300705.0,1355524.0,1389936.0
394514,4,"Dallas, TX",msa,TX,24042.0,25876.0,28224.0,30490.0,32408.0,33567.0,33512.0,32589.0,31265.0,29283.0,27727.0,27057.0,28543.0,30513.0,32932.0,34785.0,36078.0,36285.0,35472.0,34244.0,32494.0,30122.0,28058.0,27264.0,27993.0,28231.0,29129.0,29893.0,31000.0,30306.0,28526.0,26449.0,24033.0,21385.0,19294.0,17682.0,17931.0,18591.0,20030.0,21087.0,22496.0,23661.0,23945.0,23080.0,21361.0,19025.0,16641.0,14913.0,14911.0,15053.0,16146.0,17845.0,20485.0,22365.0,22863.0,22445.0,21500.0,19985.0,18560.0,17106.0,17053.0,17959.0,19975.0,21723.0,22729.0,23214.0,23283.0,23397.0,23226.0,22526.0,21624.0,21366.0,22467.0,24293.0,26387.0,28697.0,30590.0,31985.0,32243.0,32305.0,31580.0,30129.0,28741.0,28211.0,29656.0,31942.0,35041.0,37501.0,38954.0,39091.0,38268.0,37328.0,35783.0,33498.0,31315.0,30189.0,31276.0,32753.0,34593.0,35802.0,36826.0
394692,5,"Houston, TX",msa,TX,25618.0,27360.0,29634.0,31129.0,32397.0,32911.0,32423.0,31475.0,30059.0,28517.0,27451.0,27492.0,29072.0,30727.0,32388.0,33538.0,34320.0,34363.0,33488.0,32299.0,30673.0,28845.0,27537.0,27218.0,28160.0,28412.0,29051.0,29048.0,29166.0,28003.0,26500.0,25193.0,23664.0,21921.0,20372.0,18869.0,18732.0,18738.0,19747.0,20700.0,21972.0,23056.0,23040.0,22255.0,20832.0,18991.0,17546.0,16386.0,16692.0,17175.0,18420.0,19852.0,21624.0,23069.0,23666.0,23545.0,22815.0,21748.0,20780.0,20065.0,20507.0,20859.0,21556.0,22017.0,22737.0,23260.0,23332.0,23217.0,22932.0,22234.0,21656.0,21665.0,22770.0,24226.0,25881.0,27510.0,28324.0,28979.0,28956.0,29270.0,28856.0,28089.0,27451.0,27564.0,29191.0,31347.0,33891.0,35690.0,37131.0,37613.0,37387.0,36740.0,35645.0,34098.0,32690.0,32196.0,33445.0,35048.0,36677.0,37657.0,38487.0
394530,19,"Denver, CO",msa,CO,8266.0,9265.0,10460.0,11483.0,12175.0,12574.0,12635.0,12654.0,12117.0,10797.0,9739.0,9249.0,9945.0,10894.0,12422.0,13742.0,14466.0,14518.0,14218.0,13802.0,12603.0,10765.0,9148.0,8306.0,8812.0,9133.0,10490.0,11292.0,12219.0,11806.0,10944.0,10037.0,8719.0,7273.0,6274.0,5848.0,6228.0,6632.0,7385.0,8160.0,8779.0,9240.0,9316.0,9018.0,7958.0,6369.0,5040.0,4552.0,5246.0,6422.0,7817.0,9110.0,10163.0,10861.0,11049.0,10743.0,9938.0,8650.0,7481.0,6773.0,7004.0,7458.0,8192.0,8888.0,9465.0,9929.0,10085.0,10168.0,9596.0,8382.0,7202.0,6761.0,7359.0,8403.0,9924.0,11381.0,12474.0,13006.0,13251.0,13366.0,12719.0,11252.0,9983.0,9643.0,10760.0,12364.0,14380.0,15878.0,16635.0,16500.0,16072.0,15549.0,14528.0,12685.0,11104.0,10589.0,11552.0,12880.0,14167.0,15091.0,15652.0
395055,24,"San Antonio, TX",msa,TX,8769.0,9533.0,10284.0,10775.0,11021.0,11108.0,10819.0,10463.0,9974.0,9485.0,9208.0,9145.0,9631.0,10194.0,10943.0,11456.0,11869.0,11953.0,11768.0,11391.0,10873.0,10323.0,9843.0,9680.0,9892.0,9895.0,10040.0,10049.0,10126.0,9795.0,9343.0,8874.0,8246.0,7451.0,6874.0,6155.0,6005.0,5794.0,6167.0,6396.0,6932.0,7436.0,7639.0,7503.0,7023.0,6447.0,5873.0,5399.0,5416.0,5652.0,6284.0,7047.0,7908.0,8721.0,9156.0,9336.0,9161.0,8843.0,8566.0,8378.0,8553.0,8690.0,8979.0,9251.0,9570.0,9893.0,10106.0,10297.0,10310.0,10111.0,9916.0,9903.0,10239.0,10643.0,11193.0,11764.0,12360.0,12762.0,12886.0,12793.0,12527.0,12050.0,11683.0,11510.0,11939.0,12600.0,13470.0,14157.0,14602.0,14742.0,14609.0,14421.0,14084.0,13539.0,13051.0,12741.0,13068.0,13519.0,14115.0,14637.0,15061.0
394355,29,"Austin, TX",msa,TX,7392.0,8277.0,9243.0,9920.0,10287.0,10366.0,10101.0,9783.0,9299.0,8684.0,8104.0,7785.0,8134.0,8664.0,9323.0,9769.0,9968.0,9912.0,9616.0,9261.0,8690.0,7864.0,7245.0,6919.0,7266.0,7557.0,8194.0,8436.0,8551.0,8111.0,7552.0,6809.0,5959.0,5049.0,4573.0,4455.0,5216.0,6184.0,7357.0,8098.0,8749.0,9218.0,9446.0,9260.0,8656.0,7584.0,6368.0,5459.0,5522.0,6288.0,7685.0,9389.0,11055.0,12232.0,12616.0,12433.0,11764.0,10703.0,9743.0,9093.0,9350.0,10007.0,10974.0,11679.0,12037.0,12084.0,11844.0,11519.0,10925.0,10058.0,9156.0,8869.0,9500.0,10761.0,12228.0,13433.0,14085.0,14131.0,13734.0,13224.0,12470.0,11481.0,10571.0,10324.0,11196.0,12797.0,14601.0,15824.0,16242.0,15953.0,15227.0,14478.0,13530.0,12373.0,11243.0,10848.0,11600.0,12900.0,14147.0,14897.0,15228.0
394843,67,"McAllen, TX",msa,TX,2307.0,2329.0,2363.0,2347.0,2329.0,2359.0,2390.0,2457.0,2457.0,2438.0,2477.0,2546.0,2645.0,2642.0,2614.0,2575.0,2534.0,2498.0,2463.0,2452.0,2423.0,2366.0,2335.0,2386.0,2439.0,2394.0,2317.0,2192.0,2074.0,1889.0,1747.0,1664.0,1617.0,1600.0,1602.0,1581.0,1577.0,1549.0,1529.0,1494.0,1462.0,1448.0,1448.0,1482.0,1513.0,1530.0,1514.0,1495.0,1517.0,1541.0,1597.0,1656.0,1749.0,1880.0,1986.0,2065.0,2097.0,2088.0,2123.0,2141.0,2198.0,2215.0,2221.0,2213.0,2212.0,2251.0,2282.0,2328.0,2341.0,2356.0,2395.0,2467.0,2559.0,2591.0,2611.0,2640.0,2699.0,2763.0,2834.0,2898.0,2934.0,2921.0,2942.0,2989.0,3102.0,3155.0,3204.0,3235.0,3281.0,3332.0,3365.0,3426.0,3453.0,3440.0,3444.0,3485.0,3606.0,3646.0,3652.0,3606.0,3608.0
394561,69,"El Paso, TX",msa,TX,4616.0,4639.0,4522.0,4248.0,3954.0,3660.0,3437.0,3277.0,3166.0,3098.0,3111.0,3204.0,3347.0,3442.0,3503.0,3589.0,3678.0,3739.0,3723.0,3685.0,3629.0,3515.0,3441.0,3477.0,3570.0,3566.0,3466.0,3334.0,3190.0,3094.0,2971.0,2891.0,2581.0,2319.0,2069.0,1866.0,1638.0,1380.0,1324.0,1291.0,1355.0,1390.0,1413.0,1376.0,1296.0,1177.0,1078.0,995.0,1034.0,1074.0,1185.0,1284.0,1398.0,1468.0,1538.0,1703.0,1845.0,1880.0,1843.0,1686.0,1627.0,1617.0,1845.0,2129.0,2353.0,2510.0,2604.0,2731.0,2818.0,2844.0,2860.0,2894.0,2999.0,3078.0,3230.0,3315.0,3339.0,3364.0,3402.0,3483.0,3379.0,3240.0,3136.0,3189.0,3365.0,3486.0,3588.0,3656.0,3834.0,3961.0,4011.0,3925.0,3777.0,3625.0,3504.0,3448.0,3495.0,3480.0,3445.0,3371.0,3356.0
394484,80,"Colorado Springs, CO",msa,CO,2034.0,2340.0,2865.0,3300.0,3701.0,3883.0,3913.0,3765.0,3506.0,3115.0,2760.0,2509.0,2547.0,2739.0,3114.0,3503.0,3778.0,3906.0,3830.0,3673.0,3320.0,2895.0,2534.0,2376.0,2566.0,2727.0,3101.0,3386.0,3694.0,3721.0,3566.0,3332.0,2951.0,2513.0,2134.0,1784.0,1646.0,1663.0,1952.0,2198.0,2447.0,2611.0,2720.0,2665.0,2355.0,1926.0,1563.0,1413.0,1561.0,1849.0,2275.0,2736.0,3179.0,3532.0,3608.0,3490.0,3209.0,2868.0,2531.0,2265.0,2209.0,2251.0,2398.0,2574.0,2737.0,2881.0,2934.0,2925.0,2811.0,2568.0,2318.0,2159.0,2212.0,2433.0,2819.0,3220.0,3540.0,3760.0,3848.0,3890.0,3710.0,3431.0,3146.0,3007.0,3110.0,3340.0,3812.0,4251.0,4648.0,4783.0,4757.0,4618.0,4357.0,3990.0,3619.0,3436.0,3598.0,3909.0,4263.0,4541.0,4761.0
