RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30
102001,0,United States,country,,376558.6153556879,378966.91318575724,387664.4197482641,387548.80509313964,391610.8570273647,397374.2766528881,391785.9180116673,402695.9994802978,404551.4777092374,412492.12714757695,412795.6529753906,420603.97792462946,380351.51843876817,378243.55502100615,387753.335997407,392883.6955247151,395655.14630686224,399372.986841883,401910.0894603574,405636.8292251296,403427.0955455306,414694.676187239,420702.05333018675,425874.9302920158,389070.728657031,388346.0891515626,390018.40165558876,385773.1617609149,379914.81272816827,390020.3290580205,404930.49365618604,416728.5043573625,420913.6843450366,433222.67963787366,431631.18154230865,442208.78972173604,404261.1203494532,413470.1332994041,426118.1918526126,434518.6566485135,444503.9735483314,455481.96580755233,466644.6446247809,470661.23362060153,474561.8075275942,497307.3505244576,500966.8364444405,513321.0341059612,483484.90534027445,490431.07226480165,500571.6662607019,512865.5904838356,523474.30678795936,537622.236943679,543481.683255179,545754.5558334513,545303.8936293867,564044.5408537098,565531.9751903681,557879.5014197811,531743.8437000584,528150.8947092777,534748.0493499817,536352.1376288064,540353.7576311185,553643.4486389334,546507.9013072392,554562.1312240345,554784.8104576516,562960.2224517172,556816.8964620649,565556.7376882323,544600.332265606,538039.3998440265,546681.5353810342,559559.6905018148,561336.8947094943,552840.9937948219,555849.4489951383,554857.1446513988,548532.3384601787,573024.9397245753,561189.8965107267,571633.0621770846,562132.5500508719,552771.9518681079,547902.5092417328,555134.617992913,532118.0661503723,540842.2042863099,537344.1463807431,546290.3218089876,546207.4912020586,570795.5782515303,552701.2426299498,554668.4958674974,555606.90770104,548308.7220889427,538632.7211431105,540934.048700398,537536.5734157689,546715.0395088008
394913,1,"New York, NY",msa,NY,763510.5603305785,840010.953125,870065.5325732899,867065.7727272727,904415.0398593531,948184.915942029,934402.3022284122,890540.9609375,842372.816360601,840321.0856760375,865391.0665634675,874340.0078864354,790174.84863124,760978.5705645161,877594.6883561644,882739.3414634146,941948.8801403061,985872.7790868925,868834.9390448625,872490.7880747126,875064.1365079365,886263.948069241,893170.0090225564,929600.4394273128,908618.2403846154,832427.2582322357,816648.6430921053,894222.4024640657,871141.41,870215.6451612903,937142.2939521801,931317.0352522639,965694.1458923513,944142.3565022422,990561.4826629681,1003064.6053268765,910030.1671686746,891796.2728682171,1003236.4681122449,997415.974522293,985246.4692810457,1107975.015962877,1112310.482946794,1054979.1762942008,1130275.5265589661,1149438.2151702787,1094179.1068965518,1149163.7430555555,1085168.3582317072,1061109.889067524,1093195.823943662,1147202.9477574048,1146343.7432239659,1183059.926304945,1140760.2320359282,1291077.484764543,1075632.8677536233,1176817.780844156,1255253.4830985914,1225107.8684433163,1114247.0900900902,1046305.0085470085,1126418.3993174061,1289724.2013729976,1191349.3953068592,1242176.3949044587,1225233.2315573771,1258046.1746794872,1152499.1444043322,1180292.379074074,1272644.17,1277472.4661835749,1078624.4215184383,1191218.882088773,1153987.5079726651,1244039.1426966293,1406063.6026936027,1293070.8029661018,1321657.206225681,1439238.9764705882,1359805.203791469,1182451.4465376344,1274906.8242261903,1310760.779775281,1237764.456375839,1230743.5301558443,1293107.8805194804,1281827.931378446,1229210.0442890443,1238212.1613461538,1248290.4754901961,1430817.814453125,1421713.217548077,1375708.9965517242,1597310.4673366833,1349561.0578313253,1591803.929239766,1351807.0719594595,1502940.6281609195,1518753.683139535,1658039.2261580382,1742808.6317204302
753899,2,"Los Angeles, CA",msa,CA,1132372.9256198348,1155846.7671232878,1255314.9849362688,1241486.4152410575,1301685.7523178807,1261082.9728729962,1222071.0441898527,1317673.726858877,1322251.4756756758,1366077.3871449926,1175741.9209370425,1157941.098425197,1402822.2566137565,1312652.5435779816,1276664.594160584,1368344.6812080536,1311816.8861646235,1258929.089456869,1388742.8163934427,1327448.6645264847,1270928.1944012442,1391565.4423631125,1277277.8645690836,1098437.095933264,1229559.516509434,1279586.4383886256,1343110.527410208,1396822.3988764044,1277089.6617647058,1357399.2809734512,1385776.314741036,1388653.1083172148,1505959.571681416,1472739.4105090313,1571081.156701031,1427298.2216494845,1520949.1274509805,1391293.1145584725,1439750.6544401546,1658750.5239179954,1505266.2765072766,1608553.8912529552,1569535.8299492386,1509155.3343465046,1572926.9316770185,1616833.9882352941,1681447.9256410256,1694938.4305882354,1713137.7288888888,1762782.980620155,1744659.3027522936,1944123.1843137254,2050120.3036437246,2064373.523206751,1976511.156779661,1871150.806763285,1834586.0355555555,1772798.6550387596,1758640.9887640448,1728024.5606694561,1615572.754601227,1588589.168141593,1988885.1748275864,1588940.5078125,1761830.909448819,1911490.869402985,1638769.0664206643,1782619.5432525952,1816932.8072289156,1812337.6367521368,1606139.5794117646,1643014.108786611,1744549.7325581396,1624920.0555555555,1862510.5397923875,1589467.0232919254,1778611.861111111,1734009.3646209387,1885710.5555555555,1536364.6594827587,1899169.5,1830990.454054054,1594939.9596412557,1784588.8170212766,2199889.0584415584,1973881.5081967213,1719728.945273632,2129027.054945055,1741716.1206896552,1720148.6979166667,2066415.1044776118,1639765.056122449,1740628.4208333334,1893376.2274881518,1596903.1890547264,1658049.5381355933,2326590.6830985914,1986822.3252427184,1880783.68,1903901.2828282828,1666409.3105263158,2098789.1926605506
394463,3,"Chicago, IL",msa,IL,505808.8674157303,519682.48169014085,472455.00359066424,564968.7140381283,529628.5440729483,535974.713298791,480833.4671532847,522438.44639718806,501750.21631878556,512217.5255474452,467205.38389513106,520717.1389473684,450833.81755196303,450329.0801886792,475517.71794871794,514014.85129662516,523227.12379421224,534999.7754385965,576339.1767581475,511281.3191489362,499306.57305502845,540643.276119403,459705.4135714285,505661.40818913485,432117.4903640257,464395.5856599553,497768.01136363635,468897.64344262297,425517.2078651685,510957.6777583187,470127.0463265306,516887.8033536585,512672.76452076685,518864.9543601896,436964.78870796453,502904.9480737018,501374.4748953975,454040.49693251535,480748.54951185494,480061.957015625,479119.4337349398,508609.02989601385,530536.8267716535,528341.0563380282,520544.27054108214,605000.416,548411.6810506567,563225.8288659793,508440.21894736844,552516.4280078895,530809.9064649243,551494.6443057723,560004.9072512648,589570.6488095238,561698.6032719837,535473.4013050571,541188.7057793345,555232.2523719165,553960.6977186311,556384.9883040936,531475.4101265823,503730.85294117645,580060.197492163,570781.9173076923,589188.2836624775,591915.3922413794,582851.4604810997,565769.5447099447,587865.474036851,560221.8660869566,633188.7585692996,617548.1796407186,590774.2089552239,603815.7580340265,608671.6183206107,645398.3482302406,643037.6313935681,655004.0146719682,650796.9056756756,625488.0006545455,599853.9575243664,589002.2855075188,610269.1768027211,629958.9161586638,625834.5817661098,570023.2795031056,639660.9381271477,680389.7503063063,580753.1030303031,621847.4148514852,626791.6231451614,584153.7245729537,609379.076013986,612770.0994018691,598483.9621082089,602118.0946745562,611335.8877391304,603835.6794258374,645133.4488226299,664797.8286778398,697114.2446808511,644987.5899523053
394514,4,"Dallas, TX",msa,TX,389635.8511182109,379572.1643192488,385940.8669456067,365574.3396475771,403241.6719665272,382104.02698145027,380019.45466786355,377964.360803608,365654.72305529524,378814.9653567735,368669.68096054887,370837.88826574635,376906.415498155,371371.1872483221,364849.28478664195,392754.52902312414,387118.9197692711,386731.9036585366,378942.19395322306,369539.2565293093,372963.74633251835,365322.8620025674,369229.99020293914,378145.36455186305,363567.5665271967,365291.3307310149,380047.0097455333,362912.2824967825,358544.76936723833,373896.2890120037,381710.54602888087,370803.97704217833,366881.14966683753,375320.46416382253,372298.4412848868,379201.9201623816,389319.4668109668,385267.0765432099,405722.302340291,407312.5620338983,398075.22117962467,396743.5163398693,413141.7666098807,427976.3929515419,426109.4665194996,427415.02371843916,434071.66471019806,443638.41107723577,438416.2374278648,447843.1823899371,457029.82148948265,479115.8914780293,506087.826142132,526075.1544615384,522076.7884322679,516513.1127113337,501999.16912669124,511910.6845593108,515326.60679012345,493189.8040051129,501641.9084556254,492960.26458951534,488104.09765625,501446.86439909297,497200.41983398865,493749.80793507665,502478.6516235553,516031.53464419476,512089.2147270855,489293.00791974657,495520.4354657688,502003.79990605917,469925.5958994709,460548.06753106427,486706.3160997732,481139.0177203065,496256.4361272972,474680.8507816201,501248.0493702771,489863.3089668616,490588.53228053876,493539.5212816834,504415.54855875834,520412.7314308053,476528.20037220843,482097.9973614776,478856.1719496309,495860.35898639134,460526.1305370443,468769.0555787714,472212.73383194016,472511.41989724425,466223.2665198238,483065.12033814023,460103.5987685993,468015.49373156345,459357.1342234715,482623.68776371307,465710.1279835391,471065.19893899205,470503.21716287214,492369.0071760236
394692,5,"Houston, TX",msa,TX,332090.74452554743,346689.40215633425,327435.4021447721,331170.429538722,331289.4001544998,374498.06534422404,335214.198667222,337424.45788253477,357028.9104846686,330103.78777292575,332016.4098065677,350668.62995274446,326895.7328680203,325820.38205417607,335439.8628691983,343003.67887109076,332596.8458947368,346256.7313854854,338410.39586410637,340414.5755725191,331877.39566825144,339510.8544140423,345202.69308035716,343369.85157545604,328969.90037453186,330142.2698504028,327984.9518999519,335273.67328918324,323878.7077001013,337469.82277497085,349367.32817935833,333023.8796641791,334619.5152013147,338862.10422424006,340327.88570274634,358643.91155234654,332930.55324849294,344979.72039473685,382787.0418585182,359060.8834603317,361797.468719923,378403.9077490775,391659.08349026996,401441.65685019206,395669.3995887594,399046.6137491141,387528.7282229965,399023.5905236908,388706.5597897503,405109.98194370687,415011.64008264465,421019.02873268345,420863.95656370657,429828.2,419956.9575500303,428227.21472737496,433766.7913553895,433836.78920454544,421319.4712070875,427903.84890901606,393173.45621468924,396037.4909933093,426252.64093137253,437134.82522869523,435931.8536691272,425882.79155435757,446257.1899077591,426588.57,426357.8157630522,405176.2146542828,401485.55322787515,428309.90790616855,403979.87331701344,394177.2865603645,412448.99410526315,433795.0928725702,416255.29198861326,407514.7959895379,415556.6780128795,415696.00138888886,388268.4272219837,418106.27981438517,394849.247133758,425489.47522972006,395282.1550969356,389301.13504968386,410626.33159583,409027.0514237144,390478.5885203131,405097.42023026315,410850.4378470739,393620.34051896207,393539.0661948376,401925.2177319588,391570.5346103613,397194.1591880342,392874.50277264323,408057.437751004,400276.4706352377,390609.2203718048,389235.00112909294,422347.68169126444
395209,6,"Washington, DC",msa,VA,547925.5751911639,531765.8462998102,563066.4715390021,552847.7648535565,561173.4950424929,560055.2389210019,582136.8291700241,572721.9462365592,556667.3719211823,596354.9709119496,598713.5609756098,635543.15,559741.1662360034,542023.0194805195,564671.1843532146,576180.3149001537,571666.7941628264,584764.3038167938,585457.8372681282,595645.0019939117,599864.6671404542,580118.558188795,626165.7085285848,613525.9240465466,563369.0737777777,594609.5287893232,582070.3776917349,586540.9089179441,568153.8618827709,575763.3771961222,636884.0642279942,633531.9381879763,620457.7187745483,655478.2313377679,632467.4925041597,640052.2654806202,615968.5577480587,625672.6301369863,646125.8314835166,668063.6135315446,640388.4393381819,636396.7083401084,663217.1022768223,660991.9566210046,679168.8402366864,723392.4489632107,717005.9439429081,730550.3313743738,698017.3193672013,736444.3960447035,746161.8949703263,728199.7388438309,778361.8637684943,758821.6868003273,763320.5851983724,762533.4638383838,768732.5354906054,799365.2867647059,791108.450569551,800498.0505170631,734361.6606772909,797330.7462992126,813786.028447082,806196.9476646706,785205.6247052402,858680.7223553719,806957.050672182,834609.298226601,773980.3190839695,751299.7476340694,752903.9214236902,788314.591954023,831428.2603938115,807426.1629795396,841839.4057803468,863346.3,844425.4286839012,884780.8712004952,851028.3316399084,860418.4127619048,835137.3144786096,838020.404481132,813724.2181647939,859070.6439059501,796554.2108183079,841514.4845890411,878698.5970963704,855864.7183908046,882319.3255131965,867583.5643585782,841260.5169952306,807664.8585690516,867718.9626736111,869829.7104051864,800522.0630472854,856142.6852387844,855637.8756613757,865205.6825352113,835340.7596434361,917313.0211050726,801992.0701559793,950147.3095948435
394974,7,"Philadelphia, PA",msa,PA,471903.21699819167,468110.9296703297,484092.54822335026,478419.18454258674,471136.25218658894,464316.65727002965,477454.7555178268,499609.5960960961,455273.2305084746,529400.1970198676,521344.6105072464,496879.3198458574,425109.3366004415,440759.8613138686,433606.62372881355,453046.95873015875,440669.1095890411,462483.8610687023,424311.1059390048,439343.8232775453,443084.84551495017,467079.5183283582,463627.2275042445,443726.70302013424,430660.6138235294,438511.48508946324,419859.1828187919,428464.63157894736,438873.9269911504,439299.9291598023,442257.56045751635,466366.73719008267,469991.75516224187,494677.2335403727,503370.89616099076,511406.9664879356,483905.030119403,468065.22978618427,485783.5468624833,492058.1408227848,498935.02747252746,507211.7205882353,528823.295035461,537068.6557122709,549159.7239936102,568056.4541558442,569474.3336700336,595302.3748103187,562967.2154927537,528060.486868217,539450.507493188,534363.0717863105,598549.1838827259,573245.1451768489,586659.5965663717,582727.9883495145,579962.6615839695,619026.9736308317,597569.6286542442,645324.7594541485,642518.4397277228,593083.5513513513,607022.0874267783,635852.9144811321,635929.2156798246,672303.5064681724,644445.8898313253,682728.5934909909,643674.3485194806,649877.9036453202,647465.2002894738,633817.5258358662,595021.7794117647,639306.6646153847,632709.8324810127,629732.2662647754,700316.5500702576,646947.7492119565,721216.3504273504,686768.9089514066,686817.8352024922,721469.5710140845,681332.9137931034,695526.9315652174,654510.0748464164,683127.9522058824,665535.1751824818,737146.3556231003,720746.219015873,742683.4464285715,723575.4831081082,756322.3520599251,694957.081632653,747613.6356918239,707415.2419354839,725006.9152747252,660295.5734597156,694883.456392694,736378.0497315436,711705.6813666667,804322.8653846154,746386.6774744027
394856,8,"Miami, FL",msa,FL,828506.9716666667,1129439.8107594936,689200.2914201183,672235.8966061563,639510.8657053073,627547.9486273329,658681.5136825645,644940.2136294028,743838.1711934156,658563.3533203125,596705.1392016377,615888.6828110161,655938.1694214876,697860.8941655359,691636.0611464968,714268.3940256046,667568.7235213205,724778.7581903276,834934.6684636119,1032208.9675425038,882265.6179775281,804082.4404761905,869687.5305810397,735333.1707048458,751452.9352409638,811047.08088,844118.2339231824,924908.6283787879,764790.4438502673,822735.856713881,819510.2779803647,738834.0906593406,830047.9269340974,766042.3128272251,756927.1877076412,913963.4872727273,840574.0973724884,869980.1095679012,966624.6843267108,838240.8033573142,1058549.3321678322,898171.8624849216,933128.4574175824,839829.6839565742,830565.3896052631,844699.103076923,861632.7474150665,1093965.225181598,969164.0093632959,966021.8188539741,1126435.6241699867,1075707.2754385965,988466.801242236,1167993.7928057555,1172694.601910828,996184.7259863946,871648.0347826087,1005828.3595890411,855157.511568895,856014.8724137931,1035840.108045977,930063.2278097345,1066428.5736573313,1016175.8381147541,1062606.6775777414,1180962.3301056337,1024112.0355140187,1002022.6564625851,1070106.2190152803,1102423.6667562723,1061503.458017699,923798.5296875,1224832.8583435582,1014826.35,1120419.6423982868,1240187.9779735683,1182741.5352697095,1130920.8604651163,1115411.8597826087,963653.0331753554,1202562.9757142856,1244013.7574054054,1157758.4415204679,1228084.462962963,1600383.6744186047,1392096.5977859779,1354122.2407042254,1879668.489028213,1417414.8354755784,1622797.7951327432,1697568.8335820895,1556677.5895061728,1515106.015625,1552126.9786842105,1454081.616487455,1901746.9381294965,2102459.0208333335,1951500.3496682462,1889158.6666666667,1762574.338582677,1780977.6489102566,1528265.4254368932
394347,9,"Atlanta, GA",msa,GA,301319.82792743266,304432.37935779814,321582.6945863126,322163.8533747091,335465.5890702626,336010.6864346591,329475.78808476607,338172.9536121673,340689.99532511685,367225.1294997662,355418.5867026056,345335.56902985077,323306.6706372841,327146.36816976126,340889.12912541255,344405.43874172185,352259.8024877497,342923.9059425423,346962.64675010095,350815.2101226994,361343.82476347184,360818.62199312716,352825.5275891341,357336.3728991597,351563.79147196264,355353.4110746129,343366.60610518575,353124.8485237484,340211.86902800656,350722.420411985,355873.6066411239,356707.6849593496,355178.95972222224,358528.0114826072,371233.91840468347,367230.8724230654,347668.630366019,351488.9223375625,370902.35746881657,378526.4099752388,389209.6978629329,403072.5608828006,392678.79882193025,417675.184360435,410645.3731665229,422262.1429970617,440257.67070435174,457808.970989011,438988.4227688787,437807.1146131805,459715.0669775329,467628.39119170984,483502.3614578133,500617.154315197,520409.2237288136,502883.32162458834,514273.4691229891,512406.8029069767,498985.5182704019,491021.45788442704,477255.4228441755,496675.1725663717,483767.48499776085,513241.16894477856,510498.3054309915,503591.22820919176,499584.6472868217,522059.67050970875,526090.1447963801,535123.7995991984,513132.3586584531,533546.6853642811,493085.42797319934,507942.8094218415,543051.5457175926,542620.0773298084,522799.47198969737,529822.5734463277,547606.639075317,508622.41243366187,546382.67691208,526176.7229002154,549005.721238938,550441.4118476728,559825.1447638604,555140.2013108614,529727.7777777778,558276.4182847897,539471.2886435331,510154.05972558516,552303.5825049701,529538.2979515828,552561.4188644688,586458.9753199269,555350.9107551487,535445.5744047619,525594.3543758967,537754.8328236493,498814.7252081756,550273.6041666666,517664.0716783217,550809.2237521515
