RegionID,SizeRank,RegionName,RegionType,StateName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31
102001,0,United States,country,,123577.75959922206,123795.17249453449,124064.79649660102,124643.08705694375,125308.6301597187,126022.18206645527,126777.97329883429,127593.77638217736,128442.35642124142,129294.16846853709,130141.90143060083,130990.77943163105,131770.00081532373,132460.08738583027,133125.68681153984,133845.34778356363,134621.97193434293,135418.77162623423,136238.64934044602,137095.17631327812,137959.34412891185,138819.79874165694,139621.7868162675,140373.6665434843,141038.63545852216,141674.66444215234,142323.06739511414,143028.50464499326,143807.6734617244,144651.66817829676,145576.93566694178,146564.81516177746,147565.83355791922,148565.3388675663,149517.29832702098,150444.05886690828,151282.73041223528,152085.2194881033,152887.27406111252,153760.45618651688,154721.18050762595,155717.8422110584,156766.684585709,157880.65679552115,159059.4038243642,160248.8814090199,161354.96620048487,162395.06213508762,163388.0962404046,164448.97530308456,165619.39494203217,166927.82570798302,168401.178953887,170005.71993159395,171734.76282760978,173488.68091654696,175220.38893100116,176879.85930806142,178437.3949641094,179971.87371869796,181456.5945236466,182971.40444728197,184534.0361505075,186294.40304904882,188164.42714711,190123.10400335505,192096.3789500793,194092.34457345438,196055.19748820784,197914.292499157,199611.4502537602,201144.92195851554,202458.09634428134,203677.6438320228,204905.97839475647,206225.79263348607,207528.44934391606,208677.38126769674,209577.55901367147,210270.10607228617,210723.57442292583,211043.81152965504,211211.638612555,211312.90945161157,211350.34726905354,211390.19963068957,211418.95447800928,211448.23196079468,211354.93151416825,211086.8636442017,210588.8831504869,210000.72721463288,209298.24815110854,208543.72346627535,207637.94498704452,206682.2064043618,205585.638823077,204377.77652753456,203019.78338579356,201553.8291700968,200029.2436096241,198425.7109003435,196719.2914683943,194826.96065423926,192912.2115164152,191043.25065151253,189214.38640613123,187401.82925274162,185633.49958235412,184125.69197117796,182742.86799868048,181439.66709492073,180121.9863431886,178880.77057107128,177756.62479807995,176716.77716326897,175761.3723049335,174980.7817516909,174540.15510868098,174342.62943445606,174278.27977274646,174207.82123178462,174204.30700061008,174309.03356811372,174369.60650779132,174225.8008890951,173681.5546177912,172877.49773553957,171880.75664301022,170850.3706871895,169804.32244335033,168830.84302255473,167929.28319537715,167094.12769982425,166298.83837842624,165467.02642302788,164590.72419279648,163732.1317640778,163008.19923615752,162399.92979475958,161877.94772057308,161364.46938293884,160927.8882104789,160548.61922684332,160317.3129923824,160298.55662568405,160511.60529086192,160875.22255513523,161320.51830129648,161853.61680711186,162435.3893234071,162934.16236117392,163503.85018505892,164119.51321179912,164855.00922388342,165624.53659341528,166507.30511474723,167455.62674204799,168445.29230393554,169522.306802546,170781.1482039312,172179.43383727552,173447.35166605923,174683.23815662295,175811.55882102266,177062.863878345,178086.92510200734,179024.38176016198,179842.40802520877,180715.28706260698,181596.33066876468,182480.72104562714,183490.8019599821,184386.24549046447,185265.7494109629,185939.1505262833,186570.23566755932,186986.38264606148,187529.66972292587,188194.1151969421,189012.19903649265,189826.49440471464,190653.82235488636,191558.43882078296,192556.37767809784,193514.76941037,194505.06861110136,195543.74673145558,196692.2834726932,197899.36603093578,198983.5859615802,200062.4646672142,201225.1660859224,202382.4360514481,203243.53016034106,204030.83945759202,204821.99064126486,205785.686993998,206519.090304157,207208.6231139894,207964.91392998732,208917.8908218379,209973.00941907024,211087.2456680348,212202.93111184915,213370.63754017325,214572.92217477792,215879.2632887459,217041.8321018252,218131.34436424836,219060.26659420473,220012.23046655869,221003.35994652423,222134.45082211038,223353.45105712666,224629.1564743884,225891.2223720482,227116.69987378074,228534.28616537704,229825.05314629604,231078.94278274162,231988.81619713418,233141.38439112258,234246.66491088038,235365.17671164486,236134.29745526504,236907.30697937068,237733.41972938902,238729.91393841626,239886.43935679158,241108.5174522747,242198.4881967775,243011.09277459353,243725.17866203762,244382.6303710847,245105.25414858098,245741.75118924628,246628.29636328339,247834.81805402614,249253.53102282956,250815.6837106572,252342.32943995678,253930.51374622868,255290.3988334275,256055.85462769555,256486.77812210747,257177.96637011296,258834.36743214782,261679.23989230636,265154.2581485187,269084.37845466816,272914.76414081856,276598.71308241255,280364.4867162145,284295.2399764206,288594.2260544233,293363.3432873532,298492.40114574035,303096.303072526,306368.044190239,308364.9118277767,310322.08206996863,312975.3635332387,316245.3552737066,320744.1119620062,326132.25764905947,332467.3082397591,338798.874018821,344456.77616072,349186.12489191146,351671.4779963723,352049.7925663989,350758.1278153814,349516.0596528618,348496.25780717115,347570.0379882995,346356.2040900436,345469.0998811221,345406.39949072787,346389.6931586477,348047.3885465521,350023.0433464599,351805.230820328,353459.0245186596,354708.47319648275,355643.44213959813,356305.79435882345,356745.35226452653,357182.76903556887,357984.36954905075,359543.31355275406,361420.3890340321,362870.31592423614,363438.25616901607,363587.96496791625,363834.08106808574,364289.7643518921,364884.9417329514,365383.54673924483,366111.6654657945,366748.42849724955,367212.95372014004,366934.7707766869,366401.25591973943,365708.66745530674,365085.1245868734,364654.14338940574,364424.1889163169,364668.22016635747,365106.89208344836,365789.6371872821,366588.38707554754,367350.4468837799,368071.7142784877,368567.17290168355,368647.33296030416,368385.29135131324,368141.6470358242,368249.99672011915,368696.68474913173
394514,4,"Dallas, TX",msa,TX,129720.85783014513,129778.63595335835,129845.05782083714,130017.54843378055,130244.97258406218,130475.17278200116,130716.53454072618,131078.09246144324,131531.1996620138,132046.69558372017,132532.3475342969,132999.15504759768,133236.99730712318,133041.93242963162,132755.2840957058,132593.88005556745,132709.79882555935,132811.88804627853,132914.1251517419,133171.65747440796,133424.66958675082,133645.31265093226,133735.73624491575,133841.71076837415,133925.20636910407,134118.44151510732,134410.96350577785,134889.1572072451,135393.79984940344,136047.55020517463,136694.20205864377,137356.19363601416,137889.40418245,138343.85050770428,138744.6532012185,139097.6476079936,139351.05346090312,139494.11022375288,139645.90492364857,139838.96348240305,140037.63635111545,140252.79167173695,140381.68820316895,140556.496981553,140742.48538931634,140992.12867012506,141207.29112033287,141261.80352948655,141744.24043585753,142855.61619653282,,146686.7897043931,148009.92030158034,148705.66455806568,149067.2833497777,149494.74063373098,149907.87201634122,150323.927347181,150631.7862188255,150856.71792567722,151375.9674803492,151705.33067667807,151981.4022793326,152124.8162909452,152462.4600444798,152900.0004163015,153230.27539808681,153566.68151191613,153919.3093107785,154049.57901521723,154180.49408741773,154139.0994388186,154108.55528553858,154226.31581777,154414.01534069362,154877.13143751957,155462.08087910723,156102.12859014317,156546.81001496039,156785.76543403848,157048.68238578868,157684.94825029015,158232.00017763427,158774.09450356814,158676.87996624535,158312.77943268206,157816.54633067758,157793.5128428023,158104.98434425707,158517.53317137822,158921.11464535198,159345.41089184652,159902.00768756805,160315.9506275371,160595.42248124574,160808.91347072317,160223.72082966543,159180.86594483504,157752.89263815328,156887.95716208886,156313.84932288437,155951.6282413481,155757.75953089513,155323.84865413312,154589.85071464983,153593.75561529482,152702.03532275514,152050.98679594896,151571.4691360746,151471.50200401503,151524.6301514095,151728.46267623472,151898.82799723846,151921.4823412906,151971.3872674651,151831.9275747009,151780.74071654602,151706.29173182315,152051.88432174164,152431.58958124756,152527.84843674046,152378.1295696092,152141.17480678257,152278.791662946,152387.27972694227,152466.31230502625,152111.0173867507,151451.28861319995,150541.30470021677,149660.78697752513,148763.0961178815,148146.91341127575,147681.19716376808,147191.06721186882,146670.19032879057,145987.98933325545,145483.29458046856,144933.09152905387,144725.77906807954,144580.00837415687,144602.05904218846,144530.02857801365,144402.07070750798,144095.2996950627,143811.3070418324,143983.05814378802,144466.59554190977,145116.57938959557,145703.21981232,146436.2282391869,147282.58378220754,148005.13245612298,148727.06352728637,149526.50631870562,150420.0543089015,151193.23928079542,152018.35149868493,152949.86326929534,153911.46239149175,154741.84804444163,155679.5555554504,156896.41324386888,158170.65507980864,159303.24081007962,160283.71292856862,161391.83796060583,162525.43267425848,163680.5289122967,164858.03856127258,166049.3982098168,167174.4676737167,168070.38553971204,168998.3490854229,170016.93515067722,171275.72896211027,172426.76048566157,173510.83321788593,174388.88138575174,175548.39874364575,176786.0842046377,178272.01366762852,179825.72746778326,181362.38270412126,182775.6351258762,184254.8236129528,185884.67439278308,187761.25522997664,189647.10323714337,191620.84150420575,193583.5160106391,195526.64425038104,197450.69107652936,199484.5450554856,201582.56357806674,203413.23051479945,205282.9098220135,207064.93265382326,208966.64603163578,210592.42982389455,212105.13884787573,213760.06268037195,215533.70471070788,217542.00402786394,219461.29503945762,221405.83365713153,223242.72744325615,225208.03336189114,227343.24352796903,229358.0239332919,231205.16274718716,232621.28905651407,233965.97004119807,235364.4266264364,236948.53440884198,238689.32411443602,240578.81899540266,242522.09162375517,244393.79688487863,246283.86849750835,247969.08074180127,249553.00753415845,250632.11342347073,251741.72754083422,252575.28752757734,253334.74997031814,253779.63158765924,254274.2306613326,254991.57010293915,255927.76931398376,256942.22174800874,257814.72895955658,258294.4025318966,258491.4855586166,258552.82179810255,258650.62318769997,258896.207645006,259284.26110713903,259987.17365356,260980.0335101341,262209.2157490607,263767.5967832741,265348.9068160868,266852.5345528662,267644.05831831245,267634.5497110635,267414.6287335039,267781.7106095062,269234.1594114335,271756.02925655997,274902.4463039823,278583.1815000078,282302.28550247336,286235.3565138402,290396.3712315417,295034.10468026187,300160.5536814353,306067.0648347928,312250.1695468079,317852.3910949833,322194.19994237676,325591.1571068757,329204.9592092581,333664.0431131698,338782.3944208739,345895.11174889427,354432.828073537,364121.2916037321,373692.59268278704,382356.7728772965,389783.9241466262,393863.4806233256,394540.8643128982,392803.9238682166,390697.3840683822,388742.9121737378,386709.005624721,384088.2689378246,381752.00193602574,380167.18616036675,379598.37605866557,379893.2498063717,380737.0990088911,381744.8162175815,382695.70077792945,383123.7905570511,383241.8884918427,383098.80224260985,382762.61396381195,382784.9378020034,383281.1402950121,384472.49910203164,385469.2080461436,385617.1733981821,384933.6303131641,383967.9621762728,383297.939652066,383094.46876569215,382985.5733632473,382689.057160343,382150.19148317445,381612.5522617744,380812.2412850701,379285.0980077126,377123.22516883124,374667.58654916025,372264.9083037777,370215.27933904575,368830.91274953703,368173.2587385965,367818.96350110957,367550.98849762534,367329.712410344,366889.093928521,366304.4824618821,365232.417761809,363899.14835042256,362320.8085552982,361073.95058933104,360453.4979672074,360436.81730485073
394692,5,"Houston, TX",msa,TX,125726.04979259189,125749.46869525121,125661.68593730546,125714.15727223502,125762.56039719262,125957.24169203073,126147.19977834832,126443.15172094258,126828.15270961709,127150.07296533413,127653.89690604394,128174.2372336575,128431.78217449784,128386.76388033373,127960.20469694938,127704.57537520358,127626.05632452284,127760.79271967837,127943.43325201888,127951.17345597006,128052.491851829,128218.685442273,128453.4914404223,128627.42415028496,128704.8106638638,128795.16745760984,129127.72851345979,129680.43209465292,130305.33026552659,130870.55186063125,131424.68432565176,132078.502549955,132680.28654715896,133181.49105940445,133554.14110785237,133861.04547855558,134159.43728149123,134388.1528667465,134669.09726478593,134929.89067554512,135209.2598026136,135454.34484693594,135705.59146305083,135990.55651378876,136216.71340115924,136451.63289730353,136650.27088145202,136900.69129573402,137251.11249052576,138031.39919370748,139415.17010531935,140745.46044302385,142081.81251785372,142771.86897722233,143697.6373788347,144383.9298203532,145233.56158518023,145998.87304732995,146734.62214916505,147533.60499838679,148226.1664963771,148861.14066049832,149343.74961098007,149772.51692752208,150024.07610775842,150259.7017818355,150402.3168363875,150479.7537989006,150486.8532176356,150440.4470621449,150578.25963262742,150701.44011900033,150833.23309454424,150783.38952858432,150848.0171185495,151073.98691689663,151619.51584458823,152152.8046550778,152731.48166941726,153291.43176266112,153951.75186825127,154701.94975900507,155403.50421614447,156137.02006978574,156604.30078389135,156714.31687403386,156558.7919080334,156643.70122408864,157022.4028932775,157621.4502036566,158068.35577779257,158546.8059551967,158942.7475620199,159325.92371153072,159609.530438584,159899.78140770688,159666.14629916233,159244.13844819673,158694.51192107765,158486.31361520535,158233.56824360622,157927.01295626847,157630.50226866186,157115.86549267572,156414.61652859478,155698.87704093938,154864.1644335294,153973.66173494744,153043.08296633477,152679.18331879898,152577.77071394512,152693.3799131829,152873.03564133946,153247.26548060536,153747.52226692231,154011.40832091958,153968.61627701658,153654.7844931396,153577.18527433657,153714.5324573439,153781.7793739912,153869.03533686776,154114.95191619135,154565.97930046378,154929.09423814723,154886.52482338538,154280.27468001668,153187.043080476,152103.37619897965,151235.21557401828,150640.81850931878,150122.37380802122,149587.2866269111,148977.4585423586,148162.53090472508,147431.40903773627,146824.62733188077,146427.11121121226,146218.1289389742,146144.1693687503,146027.4333533653,145821.8157408442,145166.36459627346,144583.38982649907,144298.80345969848,144496.19134111944,144722.1217279031,144814.09818622054,144823.77499156984,145033.60553956951,145407.69443797655,145893.58428995433,146309.41365978378,146641.44213827586,147004.47834880455,147316.444746344,147719.3929100594,148292.94593074397,149194.32151155247,150222.9504508124,151447.4314296222,152867.31196207282,154364.59377023976,155885.51310005737,157199.9400999881,158655.4904606074,160017.12703001732,161423.25912979824,162774.2965961378,164235.0278795044,165787.28900397508,167266.42646019382,168767.6821998133,170178.9038408122,171801.7445675092,173419.00278456093,175012.71240693502,176391.9079361855,177943.28117533328,179596.58423649383,181454.62268701836,183195.2533115565,184910.03399178758,186444.74902149348,187903.5341515765,189281.79758432772,190629.60101947028,191959.21704277722,193142.25233160044,194237.17249198863,195197.21550291622,196220.62393360076,197389.01551604737,198516.0311482515,199272.55344835584,199893.54444147195,200489.3173824992,201222.7588966397,201709.5609672664,202087.81387195215,202607.08238341645,203283.2835250879,204151.2306331727,204935.99391045747,205595.22694815672,206021.64464712716,206584.310390096,207367.64069622473,208084.48581966033,208704.07639348847,209045.45674236605,209477.16803022602,209905.50293831245,210562.54202922876,211316.8900229355,212137.11821858105,212869.67478269772,213433.54842114038,214192.8448590683,215010.46352164485,216028.35685069082,216881.53445518925,217845.7736740151,218661.6623115694,219479.38435727052,220157.73251679447,220907.72689388916,221709.36222847112,222545.57113093053,223411.89211345537,224236.17989366446,224850.47418283563,225312.46897819583,225631.4648152526,225956.17422168134,226330.60194048137,226809.7148651407,227458.24907277364,228349.1233292947,229314.6152616512,230309.72605996337,231179.25978163444,232011.96226510414,232528.1658865543,232526.59504293874,232483.5510439639,232893.4899978777,234088.85214956637,235905.2770859381,238131.57034850205,240841.5338090755,243566.8482925947,246401.70499622016,249260.82121382505,252434.23363186754,255867.57949905552,259847.9388479426,264208.0878257859,268234.2989276389,271351.7579151429,273690.7284163029,276276.90319668787,279535.3967973188,283207.20454896707,287912.3989334503,293238.8667053845,299449.02581828117,305413.1388689312,310872.9301427051,315529.7916376513,318666.0883020384,320020.3250935494,319931.1343319669,319389.8655116193,318740.1978236709,317517.7320452477,315683.69871195225,313942.3601840485,312749.1663623879,312283.39705825655,312444.27020089177,313280.3411335838,314238.9798008553,315148.0891861362,315518.5880616902,315545.2072135093,315249.9239405429,314821.52447218844,314815.3078960904,315205.3442329086,316222.7837933767,317275.1572904859,317827.3874648174,317705.21566071495,317329.84412444703,317104.7798007806,317040.2315289627,316835.47989233304,316491.43519205326,316307.6862397658,316246.2142061666,316095.6031657848,315444.3659193556,314509.0348934675,313549.91011270613,312546.2547643823,311694.42968392884,310969.90449513705,310494.4325604019,310087.5212010232,309895.0603616678,309913.9731783665,309784.6332182677,309460.41253907443,308897.26290361094,308179.4704802937,307175.43260270456,306091.0603638473,305328.5153130753,305001.4630414042
395148,18,"Tampa, FL",msa,FL,102402.84652399916,102537.69072699739,102749.17282756102,103281.79554941105,103990.87821267964,104782.07060167956,105525.15701525523,106313.53525479423,107139.40121477719,107957.0068138193,108743.26630026601,109529.75438012318,110253.37083467697,111001.44400993391,111686.60624769761,112466.68534184327,113210.7791756713,113994.55911266606,114819.86842656968,115678.54967381836,116596.6773606004,117505.42762503224,118436.13893676747,119414.55551832049,120384.85374388179,121286.49265445459,122182.25387764176,123146.4494125129,124171.49917509682,125190.33592315188,126198.68370624301,127279.08874931686,128344.30233092963,129386.07249873258,130407.0665240102,131513.89297545003,132639.5241161215,133783.6930219107,134915.31846972738,136159.75829778812,137485.29028578912,138786.80534581954,140122.3318775317,141463.43787030978,142863.8338631444,144329.51020536455,145720.6756350202,147109.11512505615,148280.93663155113,149470.36055876932,150798.75582961665,152341.21044292112,154060.27366396048,156009.43994624025,158367.69942392354,161035.76896255036,163789.56525489507,166251.98129109788,168506.5315108448,170705.2309880395,173091.36833331804,175753.57019587056,178657.63488777177,182150.6638520447,185751.49626315726,189594.38722631903,193498.3734764898,197685.85436996596,202238.4090034029,206366.47477465388,210221.4860081237,213539.1120781613,216566.1199519599,219626.91910543293,223132.75279524224,227214.36935673244,230551.49004586216,233094.83548442755,234574.28987305763,236147.6034615362,236922.12118607652,236938.8301010269,236025.6887104743,234349.64679310156,233180.39105534056,232391.93065636806,231937.3507969428,231293.48155663876,230285.5774417954,228607.32718050093,225921.51379141057,222660.5034042805,219403.61834893457,216040.6749784715,213095.02337676054,209735.50502783014,206490.75432711994,202706.0534637984,199272.1722139331,195863.91844027166,192540.7722803715,189303.8588439883,186105.7788057857,182827.56924336855,179486.73516473515,176080.86023323613,172408.66086103182,168845.14045549734,165597.74813362164,162644.99883346396,159948.04171236564,157016.02403729907,154438.46558607902,151969.30357563423,149954.84932678324,147849.88135767673,145922.061793866,144281.87646384613,143422.3101881343,142770.13446712508,142481.4033423933,142254.07839553535,142071.89158967504,141821.88485710262,141518.86297276244,141117.97260072271,140289.03143403537,139138.90981167197,137626.68760158602,136111.86713375483,134493.16717314871,133161.8049784164,131650.00213937616,129882.30558462162,128113.14918106154,126314.96081353677,124784.75372486013,123222.79368462409,121879.68660272197,120697.80999927789,119845.03117559571,119517.10683368107,119405.67719302299,119329.09881702093,118985.8332557699,118929.45970978886,119122.58710215712,119731.3707514166,120380.58603638892,121007.39950551245,121579.3718059633,121981.80602824845,122404.34430080552,123040.51351318364,124076.13007469167,125571.6496149453,127086.84166189538,128514.50405337343,129959.71742038992,131579.26673635922,133575.9078119663,135480.6541036413,137312.16288303447,138964.91334094616,140501.18099461365,142188.77183818835,143725.09010542446,145346.37562160252,146612.44738789924,147928.67131979682,149081.35620516856,150140.47801644044,151177.72130094803,151998.89661522684,152932.1135603491,153688.15110827467,154505.21189120095,155253.5403582487,156206.76821626574,157403.82252097336,158539.7111131541,159545.51425628364,160428.93498739207,161457.4122589239,162550.6739175604,163626.30591041959,164917.9563516771,166364.044807768,167985.25998078936,169666.3156220916,171393.58372974102,173180.22249329308,174830.194306155,176482.93199410182,177867.07894713586,179343.19563397192,180599.1462701431,181891.9926476019,183056.59802266237,184377.07897904297,186015.77392931757,187822.49338568002,189658.54722172595,191278.1264652384,192704.28938127845,194084.20906011478,195505.7167503416,197018.25707949165,198338.7143427419,199747.46140338384,201196.2020137339,202854.82998679663,204434.2383516077,205980.0313661086,207619.63066516956,209378.04198250154,210901.76344925797,212169.1376986599,213462.0425247685,214841.0863365165,216163.61082739767,217210.89486963206,218479.2233036376,219768.929660875,221057.34414025678,222053.224388459,223152.3933113784,224378.3042867044,225638.1820880014,226764.04645417898,227583.7838678041,228320.76853035545,228866.82447677045,229629.140813784,230436.36860507276,231438.58022162097,232267.84910481097,233242.31705942468,234501.2506830451,236109.68784321225,238385.65265024567,240559.40661977022,242524.28326774927,243616.15064171932,244114.1074455153,244561.0081792007,245494.10457561506,247343.3629505836,250097.71172214425,253272.11930106944,257023.42936228742,260804.94382725967,264927.20011649065,269334.62469086685,274219.09437474207,279403.1020441959,285157.72606984596,291784.2342853191,298666.5555419991,304771.6763798624,309786.52363179944,314442.00845946214,319743.1971601916,325434.23631403415,332615.5709211861,340905.2782770554,350766.04537714645,361358.66159753146,371740.81124036416,381035.88551165623,387323.0243612956,390321.88758300076,390196.71208086214,388630.0183796731,386300.5217222618,383607.34779075417,380769.6651525553,378592.9569535649,377555.6823640233,377430.2214761787,378140.066387922,379719.0462615997,381524.95985731966,383345.7848601924,384551.5753702477,385697.21498818364,386536.70525118586,387380.6511136754,388072.35985845956,389076.307110653,390175.3264106161,390950.04470356664,390959.7658685963,389990.9524970381,388788.8348149038,387639.23168451496,386514.8009751521,385177.44196266885,383364.8353611731,381627.44335929886,380166.3987406921,378755.86112891167,376953.14271886746,374625.27113677136,372160.09537935193,369535.4365683843,366758.1356518166,364097.1238082908,362125.78748989827,360951.7121636869,360384.4265384474,360102.9262380006,360154.8272250472,360511.77203609474,360819.32520684385,360514.2018684436,359690.28078620904,358854.9529436948,358611.66895816365,358705.69341625104
