RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,391819.0,453879.0,507885.0,524353.0,515551.0,488342.0,440536.0,408439.0,354812.0,295510.0,279598.0,296915.0,379335.0,436221.0,500776.0,512122.0,496581.0,462539.0,433041.0,407598.0,355224.0,289856.0,270373.0,296614.0,368905.0,360063.0,376637.0,390459.0,450242.0,463959.0,452903.0,431263.0,382026.0,321218.0,292646.0,293167.0,355084.0,405670.0,468079.0,502169.0,518491.0,513869.0,484677.0,446074.0,393956.0,324622.0,280558.0,279115.0,343393.0,402637.0,459103.0,490676.0,487649.0,458576.0,404231.0,358887.0,305644.0,241972.0,215076.0,217498.0,272181.0,304518.0,343877.0,358414.0,360375.0,354172.0,336742.0,327337.0,294257.0,243287.0,222581.0,239909.0,297418.0,342664.0,381567.0,395263.0,389194.0,369992.0,351721.0,338781.0,302908.0,252030.0,238488.0,252112.0,320892.0,364815.0,414331.0,416872.0,402901.0,372086.0,355284.0,344295.0,308243.0,252397.0,228126.0,242489.0,312682.0,364842.0,411450.0,417850.0,404817.0
394514,4,"Dallas, TX",msa,TX,8606.0,10075.0,11442.0,12067.0,12108.0,11538.0,10225.0,8969.0,7905.0,6682.0,6651.0,7125.0,9180.0,10334.0,11689.0,11930.0,11778.0,10912.0,9878.0,9119.0,8124.0,7003.0,6767.0,7456.0,8964.0,9009.0,9628.0,10141.0,11222.0,10890.0,10099.0,9256.0,8209.0,7131.0,6779.0,6632.0,7959.0,9102.0,10599.0,11370.0,11985.0,11998.0,11334.0,10119.0,9092.0,7856.0,7006.0,6758.0,7639.0,8720.0,10029.0,11418.0,11798.0,11119.0,9605.0,8174.0,7010.0,5494.0,4877.0,4821.0,6213.0,7443.0,8823.0,9436.0,9363.0,8943.0,8139.0,7636.0,6914.0,5881.0,5515.0,6174.0,7820.0,9234.0,10164.0,10429.0,10211.0,9583.0,8785.0,8305.0,7408.0,6312.0,6054.0,6596.0,8541.0,9885.0,11281.0,11294.0,10557.0,9348.0,8406.0,7992.0,7155.0,6121.0,5619.0,6395.0,8398.0,9826.0,10628.0,10430.0,9978.0
394692,5,"Houston, TX",msa,TX,7771.0,9008.0,10158.0,10145.0,9965.0,9308.0,8166.0,7313.0,6441.0,5696.0,5689.0,6260.0,8003.0,8974.0,9924.0,9965.0,9760.0,9036.0,8028.0,7340.0,6515.0,5784.0,5717.0,6465.0,7872.0,7639.0,7862.0,7968.0,9018.0,8834.0,8364.0,7935.0,7283.0,6501.0,6095.0,5938.0,7042.0,8018.0,9478.0,10399.0,10948.0,10805.0,9816.0,8699.0,7810.0,6868.0,6439.0,6408.0,7525.0,8436.0,9425.0,10125.0,10283.0,9705.0,8508.0,7335.0,6320.0,5220.0,4812.0,4973.0,6210.0,6876.0,7617.0,7892.0,8032.0,7834.0,7145.0,6647.0,5982.0,5121.0,4846.0,5399.0,6686.0,7711.0,8366.0,8664.0,8040.0,7693.0,7054.0,7207.0,6498.0,5724.0,5465.0,5939.0,7575.0,8717.0,9751.0,9607.0,9348.0,8416.0,7647.0,7089.0,6459.0,5735.0,5422.0,5977.0,7532.0,8549.0,9212.0,9155.0,8962.0
394530,19,"Denver, CO",msa,CO,4365.0,5178.0,5981.0,6282.0,6102.0,5718.0,5221.0,4871.0,4106.0,3081.0,2930.0,3299.0,4426.0,5237.0,6301.0,6686.0,6384.0,5722.0,5248.0,4899.0,4044.0,3047.0,2688.0,3027.0,4196.0,4348.0,5041.0,5245.0,6075.0,5821.0,5420.0,4930.0,4191.0,3379.0,2961.0,3153.0,3922.0,4618.0,5241.0,5883.0,6058.0,6001.0,5566.0,5038.0,4338.0,3278.0,2736.0,2861.0,3829.0,4820.0,5591.0,6113.0,5925.0,5399.0,4632.0,3917.0,3203.0,2252.0,1952.0,2200.0,3136.0,3717.0,4297.0,4556.0,4593.0,4465.0,4118.0,3789.0,3059.0,2136.0,1901.0,2360.0,3314.0,4143.0,4955.0,5221.0,4973.0,4419.0,4135.0,3967.0,3241.0,2327.0,2218.0,2829.0,4153.0,5014.0,5778.0,5646.0,5068.0,4270.0,3932.0,3676.0,3097.0,2217.0,2163.0,2843.0,4118.0,4899.0,5248.0,5163.0,4772.0
395055,24,"San Antonio, TX",msa,TX,2639.0,3060.0,3402.0,3479.0,3439.0,3255.0,2839.0,2556.0,2270.0,2053.0,2062.0,2170.0,2757.0,3103.0,3495.0,3532.0,3492.0,3279.0,2984.0,2740.0,2441.0,2156.0,2063.0,2250.0,2694.0,2723.0,2860.0,2899.0,3176.0,3149.0,3041.0,2870.0,2582.0,2239.0,2141.0,2061.0,2461.0,2773.0,3348.0,3682.0,3992.0,4014.0,3771.0,3385.0,3022.0,2657.0,2369.0,2293.0,2663.0,3079.0,3532.0,3861.0,3984.0,3878.0,3460.0,3020.0,2556.0,2078.0,1905.0,1953.0,2404.0,2653.0,2913.0,3009.0,3003.0,2926.0,2717.0,2538.0,2304.0,1964.0,1893.0,2065.0,2501.0,2834.0,3051.0,3142.0,3080.0,2934.0,2685.0,2523.0,2287.0,1981.0,1940.0,2111.0,2683.0,3046.0,3365.0,3353.0,3215.0,2901.0,2648.0,2531.0,2338.0,2032.0,1966.0,2109.0,2708.0,3003.0,3287.0,3354.0,3283.0
394355,29,"Austin, TX",msa,TX,2816.0,3460.0,3877.0,3921.0,3707.0,3389.0,2925.0,2664.0,2300.0,1993.0,1930.0,2119.0,2826.0,3293.0,3811.0,3854.0,3726.0,3357.0,3008.0,2799.0,2474.0,2103.0,2031.0,2231.0,2912.0,3063.0,3342.0,3346.0,3642.0,3556.0,3340.0,2984.0,2588.0,2173.0,1999.0,2034.0,2694.0,3335.0,3934.0,4208.0,4389.0,4388.0,4146.0,3667.0,3189.0,2529.0,2109.0,2076.0,2696.0,3378.0,4125.0,4724.0,4835.0,4396.0,3670.0,3017.0,2507.0,1864.0,1736.0,1843.0,2583.0,3004.0,3428.0,3451.0,3291.0,3061.0,2724.0,2502.0,2169.0,1694.0,1567.0,1937.0,2783.0,3497.0,3920.0,3843.0,3473.0,2985.0,2617.0,2404.0,2096.0,1706.0,1739.0,2118.0,3084.0,3821.0,4289.0,4070.0,3531.0,2960.0,2579.0,2419.0,2082.0,1719.0,1604.0,2058.0,2964.0,3537.0,3760.0,3585.0,3335.0
394843,67,"McAllen, TX",msa,TX,434.0,446.0,463.0,433.0,408.0,451.0,452.0,477.0,402.0,385.0,433.0,460.0,506.0,458.0,472.0,468.0,458.0,443.0,431.0,425.0,408.0,362.0,390.0,412.0,461.0,385.0,356.0,332.0,366.0,369.0,378.0,399.0,402.0,400.0,393.0,383.0,395.0,407.0,434.0,452.0,451.0,458.0,450.0,464.0,457.0,433.0,414.0,412.0,474.0,500.0,539.0,548.0,559.0,578.0,542.0,508.0,453.0,420.0,441.0,443.0,484.0,503.0,518.0,505.0,477.0,492.0,486.0,492.0,441.0,415.0,429.0,475.0,521.0,508.0,513.0,518.0,533.0,533.0,531.0,518.0,493.0,442.0,457.0,489.0,556.0,561.0,559.0,569.0,566.0,573.0,554.0,563.0,522.0,478.0,494.0,520.0,597.0,565.0,565.0,543.0,551.0
394561,69,"El Paso, TX",msa,TX,969.0,970.0,884.0,802.0,742.0,706.0,677.0,665.0,617.0,575.0,615.0,711.0,825.0,885.0,907.0,970.0,985.0,990.0,920.0,872.0,788.0,709.0,733.0,840.0,926.0,849.0,800.0,837.0,917.0,984.0,931.0,916.0,800.0,758.0,676.0,625.0,617.0,636.0,704.0,737.0,791.0,805.0,787.0,730.0,659.0,567.0,515.0,514.0,598.0,663.0,736.0,775.0,788.0,755.0,742.0,768.0,729.0,605.0,495.0,462.0,537.0,644.0,780.0,842.0,843.0,810.0,801.0,789.0,749.0,657.0,665.0,706.0,807.0,845.0,936.0,942.0,876.0,863.0,830.0,853.0,715.0,634.0,632.0,729.0,855.0,895.0,906.0,917.0,1000.0,1038.0,997.0,881.0,730.0,669.0,652.0,706.0,836.0,852.0,869.0,843.0,850.0
394484,80,"Colorado Springs, CO",msa,CO,996.0,1194.0,1517.0,1650.0,1715.0,1582.0,1426.0,1250.0,1073.0,839.0,759.0,772.0,1001.0,1206.0,1485.0,1659.0,1692.0,1605.0,1399.0,1262.0,1031.0,869.0,796.0,860.0,1146.0,1218.0,1433.0,1501.0,1671.0,1604.0,1511.0,1421.0,1240.0,1036.0,862.0,883.0,1020.0,1248.0,1466.0,1664.0,1811.0,1849.0,1792.0,1611.0,1371.0,1092.0,926.0,927.0,1153.0,1431.0,1719.0,1933.0,1952.0,1814.0,1529.0,1258.0,1010.0,757.0,650.0,668.0,882.0,1053.0,1230.0,1323.0,1310.0,1270.0,1145.0,1028.0,853.0,646.0,589.0,662.0,883.0,1117.0,1345.0,1452.0,1419.0,1307.0,1182.0,1101.0,906.0,724.0,663.0,744.0,1005.0,1227.0,1490.0,1576.0,1517.0,1354.0,1153.0,1040.0,849.0,687.0,628.0,778.0,1107.0,1366.0,1505.0,1531.0,1448.0
