RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,44937.0,46906.0,61836.0,57836.0,64279.0,64337.0,57420.0,61700.0,51966.0,53980.0,52181.0,56086.0,42120.0,46228.0,58881.0,58652.0,63453.0,59412.0,58310.0,59313.0,53931.0,56206.0,53052.0,61820.0,46847.0,50085.0,62560.0,53880.0,55032.0,69135.0,72966.0,67477.0,67835.0,68666.0,61674.0,73260.0,53097.0,56626.0,74238.0,67423.0,63890.0,66697.0,57756.0,58762.0,59296.0,54775.0,56468.0,67571.0,54303.0,57648.0,74488.0,64141.0,67215.0,70307.0,57711.0,63803.0,62088.0,57235.0,55664.0,64161.0,44654.0,52181.0,71216.0,60812.0,69344.0,70044.0,58899.0,67069.0,62488.0,60197.0,58896.0,59035.0,45661.0,55132.0,64374.0,62086.0,67055.0,61987.0,60846.0,61763.0,57768.0,58886.0,56123.0,62108.0,41587.0,46454.0,55932.0,53407.0,57381.0,53488.0,48991.0,49593.0,49302.0,46221.0,41300.0,51837.0,30804.0,37560.0,48927.0,45473.0,48943.0,49475.0,44413.0
394514,4,"Dallas, TX",msa,TX,1575.0,1720.0,2398.0,2292.0,2402.0,2387.0,2243.0,2449.0,2144.0,1937.0,1755.0,2321.0,1368.0,1499.0,2168.0,2126.0,1913.0,1642.0,1765.0,1726.0,1640.0,1559.0,1430.0,1987.0,1198.0,1415.0,1844.0,1558.0,1688.0,2166.0,2221.0,1875.0,1953.0,2055.0,1903.0,2216.0,1385.0,1219.0,1582.0,1476.0,1498.0,1393.0,1183.0,1132.0,1368.0,1304.0,1372.0,1972.0,1217.0,1273.0,1766.0,1507.0,1583.0,1634.0,1320.0,1599.0,1637.0,1509.0,1626.0,2352.0,1433.0,2027.0,2560.0,2206.0,2290.0,2218.0,1800.0,2115.0,1930.0,1886.0,1786.0,2138.0,1515.0,1857.0,2209.0,2093.0,2238.0,2108.0,1990.0,2054.0,2151.0,2095.0,2249.0,2559.0,1613.0,1898.0,2306.0,2133.0,2554.0,2399.0,2272.0,2149.0,2272.0,2022.0,1950.0,2716.0,1428.0,1665.0,2461.0,2365.0,2444.0,2561.0,1974.0
394692,5,"Houston, TX",msa,TX,1515.0,1866.0,2253.0,2372.0,2597.0,2580.0,2407.0,2597.0,2028.0,2294.0,2224.0,2755.0,1582.0,1779.0,2375.0,2622.0,2378.0,2125.0,2030.0,1968.0,1894.0,1937.0,1793.0,2413.0,1337.0,1737.0,2084.0,1812.0,1976.0,2574.0,2587.0,2147.0,2436.0,2537.0,2477.0,2775.0,1494.0,1519.0,2386.0,2229.0,2078.0,1899.0,1593.0,1562.0,1461.0,1414.0,1436.0,2006.0,1523.0,1886.0,2420.0,1954.0,2072.0,2223.0,1647.0,1783.0,1879.0,1766.0,1809.0,2431.0,1416.0,1943.0,2450.0,2080.0,2303.0,2215.0,1835.0,1998.0,1992.0,1943.0,2341.0,2301.0,1636.0,2197.0,2384.0,2316.0,2458.0,2299.0,2179.0,2165.0,2324.0,2159.0,2355.0,2790.0,1600.0,2218.0,2497.0,2355.0,2686.0,2432.0,2340.0,2506.0,2402.0,2431.0,2299.0,2817.0,1628.0,1997.0,2511.0,2591.0,2671.0,2544.0,2414.0
395148,18,"Tampa, FL",msa,FL,931.0,840.0,1067.0,1039.0,1134.0,1097.0,1004.0,1085.0,938.0,954.0,1150.0,1071.0,995.0,1062.0,1246.0,1014.0,1213.0,1043.0,1009.0,1172.0,1007.0,1056.0,1207.0,1357.0,913.0,1020.0,1278.0,1133.0,1176.0,1342.0,1171.0,1099.0,1186.0,1181.0,1251.0,1518.0,1004.0,1231.0,1453.0,1388.0,1263.0,1245.0,1086.0,1149.0,1254.0,1055.0,1166.0,1332.0,1081.0,983.0,1361.0,957.0,1061.0,1175.0,909.0,1056.0,854.0,1176.0,1288.0,1221.0,1052.0,1120.0,1228.0,1125.0,1315.0,1201.0,959.0,1137.0,1024.0,1109.0,1170.0,862.0,857.0,1126.0,1006.0,1029.0,1385.0,968.0,1030.0,1188.0,858.0,872.0,900.0,858.0,743.0,774.0,825.0,871.0,960.0,783.0,739.0,723.0,657.0,609.0,593.0,889.0,572.0,668.0,840.0,592.0,742.0,728.0,652.0
394530,19,"Denver, CO",msa,CO,667.0,638.0,987.0,876.0,995.0,1012.0,878.0,863.0,857.0,869.0,779.0,984.0,686.0,682.0,967.0,950.0,878.0,867.0,770.0,830.0,790.0,844.0,790.0,1048.0,692.0,657.0,868.0,761.0,749.0,875.0,1069.0,912.0,1007.0,996.0,888.0,1178.0,694.0,717.0,976.0,876.0,866.0,971.0,813.0,926.0,942.0,801.0,858.0,993.0,643.0,638.0,877.0,676.0,740.0,846.0,595.0,705.0,814.0,704.0,695.0,892.0,438.0,526.0,775.0,658.0,648.0,655.0,561.0,599.0,530.0,518.0,525.0,540.0,404.0,527.0,667.0,597.0,614.0,567.0,461.0,580.0,535.0,598.0,584.0,715.0,435.0,529.0,731.0,617.0,586.0,546.0,403.0,478.0,514.0,435.0,333.0,516.0,259.0,349.0,472.0,385.0,403.0,388.0,328.0
395055,24,"San Antonio, TX",msa,TX,640.0,684.0,919.0,807.0,1001.0,1025.0,934.0,947.0,769.0,742.0,875.0,943.0,609.0,660.0,930.0,910.0,1086.0,936.0,798.0,819.0,618.0,663.0,677.0,727.0,500.0,559.0,804.0,741.0,861.0,1041.0,1110.0,988.0,974.0,914.0,965.0,1077.0,674.0,676.0,1104.0,980.0,908.0,730.0,616.0,703.0,638.0,456.0,528.0,746.0,546.0,695.0,925.0,864.0,859.0,835.0,745.0,846.0,899.0,737.0,783.0,972.0,662.0,1011.0,1232.0,1162.0,1388.0,1238.0,1070.0,1196.0,1002.0,1010.0,1204.0,1033.0,819.0,1184.0,1254.0,1121.0,1309.0,1233.0,1298.0,1308.0,1181.0,1315.0,1315.0,1224.0,1005.0,1151.0,1206.0,1223.0,1393.0,1094.0,1085.0,1143.0,966.0,951.0,984.0,1230.0,745.0,989.0,1209.0,1089.0,1343.0,1205.0,1142.0
394355,29,"Austin, TX",msa,TX,847.0,949.0,1183.0,1045.0,1265.0,1243.0,1152.0,1197.0,1028.0,908.0,963.0,1149.0,648.0,827.0,1171.0,969.0,1143.0,1055.0,1084.0,853.0,793.0,757.0,947.0,1124.0,679.0,821.0,1018.0,802.0,854.0,1169.0,1090.0,1059.0,1089.0,1090.0,1152.0,1369.0,776.0,669.0,984.0,646.0,669.0,735.0,524.0,597.0,669.0,515.0,630.0,923.0,520.0,585.0,858.0,696.0,730.0,805.0,659.0,849.0,1007.0,735.0,784.0,1135.0,590.0,836.0,976.0,819.0,1118.0,1028.0,866.0,940.0,864.0,822.0,847.0,995.0,693.0,840.0,1003.0,885.0,1015.0,959.0,922.0,975.0,954.0,972.0,989.0,1050.0,762.0,724.0,960.0,883.0,1076.0,980.0,853.0,842.0,945.0,739.0,722.0,1095.0,643.0,785.0,1066.0,886.0,993.0,959.0,795.0
394561,69,"El Paso, TX",msa,TX,151.0,155.0,250.0,246.0,257.0,307.0,313.0,280.0,218.0,244.0,232.0,275.0,166.0,190.0,243.0,286.0,280.0,218.0,230.0,241.0,214.0,220.0,243.0,314.0,222.0,178.0,207.0,228.0,225.0,298.0,283.0,339.0,310.0,301.0,261.0,341.0,185.0,201.0,292.0,247.0,189.0,254.0,225.0,268.0,219.0,217.0,214.0,312.0,175.0,211.0,259.0,240.0,250.0,203.0,198.0,236.0,262.0,208.0,214.0,277.0,190.0,188.0,243.0,254.0,219.0,233.0,227.0,256.0,183.0,185.0,162.0,242.0,146.0,162.0,219.0,231.0,239.0,244.0,242.0,213.0,205.0,268.0,304.0,346.0,196.0,228.0,265.0,273.0,269.0,264.0,244.0,263.0,258.0,241.0,197.0,290.0,164.0,205.0,261.0,258.0,255.0,228.0,240.0
394484,80,"Colorado Springs, CO",msa,CO,258.0,284.0,341.0,329.0,386.0,370.0,336.0,379.0,310.0,311.0,293.0,361.0,250.0,284.0,344.0,326.0,360.0,337.0,271.0,347.0,332.0,347.0,279.0,391.0,269.0,281.0,371.0,297.0,307.0,404.0,465.0,438.0,428.0,473.0,356.0,439.0,328.0,377.0,427.0,447.0,350.0,410.0,352.0,363.0,392.0,386.0,366.0,440.0,272.0,276.0,393.0,363.0,420.0,367.0,316.0,293.0,284.0,208.0,218.0,238.0,148.0,119.0,222.0,193.0,182.0,187.0,147.0,149.0,150.0,160.0,124.0,192.0,103.0,145.0,199.0,152.0,153.0,171.0,141.0,134.0,134.0,139.0,123.0,221.0,116.0,95.0,198.0,171.0,161.0,151.0,115.0,126.0,134.0,122.0,103.0,154.0,68.0,107.0,167.0,131.0,141.0,118.0,122.0
